pair_valid,metric_x,metric_y,pair_label,n_grid_cells,p95_delta_vs_equal,max_delta_vs_equal,mean_positive_delta_vs_equal,positive_cell_rate,fold_stability,fold_p95_min,best_pair_mass,best_share_to_first,pair_key,selected_for_panel_d,coverage_pair,weak_pair,selection_score
True,Uzzi,RTD,Uzzi × RTD,625,0.10431534620677073,0.11015253465717895,0.06213049205612706,0.888,1.0,0.10162185085598911,0.41666666666666663,0.08333333333333333,RTD|Uzzi,0,0,0,0.14849347987106545
True,RS,Uzzi,RS × Uzzi,625,0.10600833255914313,0.10673669618364134,0.05836618922715046,0.7744,1.0,0.10320906569868488,0.0,0.0,RS|Uzzi,0,0,0,0.14592450660505346
True,Uzzi,PDE,Uzzi × PDE,625,0.10603000184144232,0.1068338269801995,0.05801439356853788,0.7696,1.0,0.1032643546166217,0.0,0.0,PDE|Uzzi,0,0,0,0.14582645858649218
True,RS,RTD,RS × RTD,625,0.10148466558703169,0.11019752923581466,0.05650697918687929,0.8256,1.0,0.09474425877168666,0.41666666666666663,0.0,RS|RTD,0,0,0,0.14380204789598536
True,RTD,PDE,RTD × PDE,625,0.10123234948736456,0.11019670386874747,0.056147581342725655,0.8208,1.0,0.09440268679116974,0.41666666666666663,1.0,PDE|RTD,0,0,0,0.14340552545455143
True,B,Uzzi,B × Uzzi,625,0.10581109511947584,0.10636909349424492,0.0492881112845108,0.648,1.0,0.10286665903261524,0.0,0.0,B|Uzzi,0,0,0,0.14184336849303708
True,Uzzi,BurtIP,Uzzi × Burt IP,625,0.10493623114056624,0.10548522078642669,0.052136720565473936,0.6768,1.0,0.1043840187659078,0.041666666666666664,0.5833333333333333,BurtIP|Uzzi,0,0,0,0.14161153633717288
True,DeltaQ0,Uzzi,ΔQ0 × Uzzi,625,0.10341528234384982,0.11035090294651326,0.04328654838262489,0.6832,1.0,0.10080807065935343,0.5416666666666666,0.9583333333333333,DeltaQ0|Uzzi,1,0,0,0.1414990080804781
True,RS,BurtIP,RS × Burt IP,625,0.10569955415104276,0.10637090693232976,0.042299916995987716,0.6288,1.0,0.10060012894416241,0.041666666666666664,0.0,BurtIP|RS,0,0,0,0.14115628088412518
True,BurtIP,PDE,Burt IP × PDE,625,0.10571556672529439,0.1064479472211855,0.04217789379968574,0.6272,1.0,0.1005993713918112,0.041666666666666664,1.0,BurtIP|PDE,0,0,0,0.14114355353059077
True,RS,PDE,RS × PDE,625,0.10490441952018059,0.10774285721564172,0.04232891208421986,0.64,1.0,0.10030076684977898,0.0,0.0,PDE|RS,1,0,0,0.141040133824091
True,B,RS,B × RS,625,0.10500942654742385,0.10752620921863684,0.040394579720386625,0.6064,1.0,0.10001068724190361,0.0,0.0,B|RS,0,0,0,0.14008297885208307
True,B,PDE,B × PDE,625,0.105027665772165,0.10759065907596771,0.040305748821079984,0.6032,1.0,0.09991409135486402,0.0,0.0,B|PDE,0,0,0,0.14002133054115692
True,RTD,BurtIP,RTD × Burt IP,625,0.09860004397159107,0.10980059816157334,0.047427351886664776,0.7712,1.0,0.09111058230640008,0.41666666666666663,0.9166666666666666,BurtIP|RTD,1,1,0,0.13918619351198439
True,B,BurtIP,B × Burt IP,625,0.1057493477435743,0.10620760606958485,0.03467485470186392,0.5088,1.0,0.10069709109525167,0.041666666666666664,0.0,B|BurtIP,1,1,0,0.13756524926097052
True,B,RTD,B × RTD,625,0.09622667100200166,0.1104246996841606,0.0446473684482637,0.7456,1.0,0.08977001721073545,0.41666666666666663,0.0,B|RTD,0,0,0,0.1362008459230418
True,RS,DeltaQ0,RS × ΔQ0,625,0.09990219552301764,0.11059136640326481,0.03607044145128632,0.6048,1.0,0.09403812342360585,0.5416666666666666,0.041666666666666664,DeltaQ0|RS,0,0,0,0.13569403712383382
True,DeltaQ0,PDE,ΔQ0 × PDE,625,0.09939734248213765,0.11051204178166166,0.03577268845158784,0.5936,1.0,0.0938155269066159,0.5416666666666666,0.9583333333333333,DeltaQ0|PDE,0,0,0,0.13483335292755305
True,DeltaQ0,RTD,ΔQ0 × RTD,625,0.09809292125032701,0.10987432114908091,0.03441570064638861,0.5872,1.0,0.09340177887470957,1.0,0.5,DeltaQ0|RTD,0,0,0,0.13317750153759722
True,DeltaQ0,BurtIP,ΔQ0 × Burt IP,625,0.09662322045341447,0.11068964486953703,0.029475461008243043,0.5504,1.0,0.09117162100650505,0.5416666666666666,0.9583333333333333,BurtIP|DeltaQ0,0,0,0,0.13080763167079873
True,B,DeltaQ0,B × ΔQ0,625,0.0943759767647791,0.11021460506669695,0.0271426890483176,0.5216,1.0,0.08925791409625836,0.5416666666666666,0.041666666666666664,B|DeltaQ0,0,0,0,0.12757762803145334
