w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.00324585,0.31153442,0.07112348,0.1677354,0.31432075,0.09388368,0.03815643,0.17810966533653336,-0.03952028122243978
0.27904046,0.1606297,0.02678783,0.00251881,0.09296052,0.43057439,0.0074883,0.11851133285076679,-0.09911861370820635
0.1318853,0.11272731,0.26150571,0.03485335,0.03697675,0.23070775,0.19134384,0.20708691943758,-0.010543027121393128
0.00223657,0.02085412,0.35655954,0.164406,0.33647131,0.01601123,0.10346122,0.2891966092065483,0.07156666264757519
0.09256266,0.04381592,0.23691976,0.05300479,0.33760579,0.02258812,0.21350296,0.2409998524753024,0.02336990591632926
0.16145936,0.27359461,0.10069074,0.02349753,0.06061304,0.19624296,0.18390176,0.15938763872896783,-0.05824230783000531
0.09124689,0.03377357,0.08008582,0.18221084,0.36132242,0.13238108,0.11897939,0.18454568346164033,-0.03308426309733281
0.25090117,0.21451294,0.0876227,0.15155889,0.10350739,0.08479837,0.10709854,0.16108290097939768,-0.05654704557957546
0.16603823,0.45510259,0.13956903,0.09433496,0.0777977,0.04675691,0.02040059,0.18218500318008218,-0.03544494337889095
0.26975226,0.07157932,0.08676199,0.06273456,0.17650084,0.29023321,0.04243783,0.14762109823078012,-0.07000884832819301
0.00777306,0.02853991,0.0640756,0.27403526,0.07477438,0.29457183,0.25622996,0.15587702042421267,-0.061752926134760466
0.11930019,0.18843287,0.05113575,0.47163035,0.00358036,0.08146119,0.08445929,0.14257922803117298,-0.07505071852780015
0.31718933,0.02483029,0.07184678,0.09367022,0.31599053,0.03886828,0.13760456,0.16635946464872206,-0.051270481910251076
0.05680843,0.16895204,0.04088405,0.20910323,0.10881651,0.19698816,0.21844757,0.15052138124766776,-0.06710856531130538
0.00663836,0.07811805,0.08326617,0.14718415,0.02259624,0.60934963,0.05284738,0.132340030147974,-0.08528991641099914
0.10424181,0.01749444,0.14401926,0.01258059,0.01036787,0.66613359,0.04516245,0.13308104383592612,-0.08454890272304702
0.11147008,0.02013522,0.34637326,0.19364365,0.14300078,0.02284498,0.16253203,0.27156781236369787,0.05393786580472473
0.40987134,0.08001752,0.12320634,0.23911586,0.10452162,0.02216961,0.02109771,0.15713709557569694,-0.0604928509832762
0.01972953,0.04589468,0.02118215,0.36318626,0.2504831,0.0725279,0.22699637,0.15671362632248634,-0.0609163202364868
0.09714897,0.36932775,0.01690407,0.27757918,0.10222543,0.01536843,0.12144617,0.1387999911975943,-0.07882995536137882
0.09137506,0.01192729,0.14223138,0.01355894,0.19683488,0.18224634,0.3618261,0.18903702698494868,-0.02859291957402446
0.00250108,0.28006169,0.17579837,0.2620045,0.02276651,0.07049162,0.18637623,0.20931946882397653,-0.008310477734996602
0.25243691,0.01413539,0.09377515,0.01318424,0.13749091,0.06254211,0.42643529,0.1628259089950392,-0.05480403756393393
0.40665297,0.03042718,0.02065769,0.00657703,0.15190737,0.21200218,0.17177558,0.12439999440605148,-0.09322995215292165
0.08272093,0.30543197,0.09194426,0.13302449,0.03809956,0.13734043,0.21143836,0.1619623816402488,-0.05566756491872435
0.12956785,0.12430668,0.10550712,0.05215619,0.41000808,0.09068544,0.08776863,0.18929117705098672,-0.028338769507986417
0.13852726,0.07441893,0.09942758,0.13212831,0.21492602,0.08099335,0.25957856,0.181726253888517,-0.03590369267045615
0.31614586,0.11930817,0.25989679,0.0504492,0.10049986,0.12986286,0.02383725,0.19665191359401338,-0.02097803296495976
0.06063174,0.45227982,0.08391676,0.12161226,0.00179291,0.21312999,0.06663652,0.15380066645117108,-0.06382928010780206
0.11469273,0.10880683,0.0442553,0.32719313,0.13004921,0.19310601,0.08189678,0.150858460462456,-0.06677148609651715
0.25841167,0.00807287,0.05326822,0.06434817,0.03974919,0.03833444,0.53781545,0.14107313847316155,-0.07655680808581158
0.15547402,0.3792911,0.09951718,0.14836204,0.07158288,0.12725549,0.0185173,0.166697218873256,-0.05093272768571713
0.0941656,0.10430974,0.48134645,0.10395068,0.11354007,0.03372482,0.06896264,0.27004210874476287,0.05241216218578973
0.07980231,0.12547847,0.31651347,0.01508974,0.10582838,0.07879419,0.27849344,0.24661071751574667,0.02898077095677354
0.07661497,0.24034811,0.32713887,0.11478257,0.00453579,0.10108444,0.13549525,0.2452544887668428,0.027624542207869668
0.02554695,0.03194732,0.0294445,0.10618042,0.37294788,0.31580961,0.11812332,0.1591100636435424,-0.058519882915430727
0.01498169,0.61557629,0.03459431,0.09707616,0.00530921,0.11119085,0.12127149,0.13214274627203804,-0.0854872002869351
0.30296413,0.12765333,0.1744112,0.18046955,0.00835811,0.11750599,0.0886377,0.170529492918108,-0.047100453640865125
0.21297582,0.17309959,0.36252395,0.03388265,0.00680136,0.10332926,0.10738737,0.22937355866951595,0.011743612110542812
0.21061895,0.11574543,0.08754464,0.02385301,0.16802242,0.07241913,0.32179642,0.16519814447648726,-0.05243180208248588
0.29199327,0.02178032,0.2853467,0.01202988,0.15458002,0.20129688,0.03297293,0.19880964469852322,-0.018820301860449917
0.1156729,0.02394896,0.35163636,0.15284613,0.24790416,0.05752662,0.05046488,0.2758752529977079,0.05824530643873474
0.2598582,0.04208305,0.23990623,0.16357984,0.04691906,0.23336021,0.01429342,0.1798807776506493,-0.03774916890832383
0.11163094,0.24148198,0.29464826,0.10183296,0.07304281,0.12912485,0.04823821,0.23748054129347992,0.019850594734506788
0.07505641,0.22315839,0.17465429,0.02188736,0.22954824,0.25846888,0.01722644,0.20081555122694306,-0.01681439533203008
0.26024,0.11359401,0.03181069,0.08500188,0.10653123,0.26438054,0.13844165,0.13159120264390683,-0.0860387439150663
0.27293275,0.18000944,0.25391921,0.05129319,0.04592827,0.12194794,0.0739692,0.19853932226137533,-0.019090624297597808
0.21526149,0.48583315,0.02896844,0.01922508,0.02438952,0.21961862,0.0067037,0.1305837615283315,-0.08704618503064163
0.14809523,0.1413813,0.05717107,0.16671544,0.40386366,0.0148945,0.0678788,0.17436768148122078,-0.043262265077752354
0.00978079,0.08252949,0.25088456,0.23772729,0.03651935,0.00350876,0.37904977,0.23953889791210617,0.021908951353133033
0.1451466,0.1031919,0.19019695,0.00725487,0.3049001,0.05726305,0.19204653,0.21493446818723988,-0.0026954783717332564
0.0637391,0.11496129,0.67267825,0.03520668,0.01781156,0.07638699,0.01921612,0.253132942428392,0.03550299586941888
0.33352502,0.35089293,0.08361629,0.02809745,0.08208316,0.12015482,0.00163033,0.14876384669344306,-0.06886609986553008
0.22355817,0.09908089,0.05790374,0.00581814,0.09485432,0.33402007,0.18476467,0.1370872112023705,-0.08054273535660264
0.02092322,0.11302935,0.07561716,0.01524548,0.6011134,0.16409038,0.00998101,0.18022130522578303,-0.03740864133319011
0.29539236,0.07413278,0.50833587,0.05856775,0.00572236,0.04464028,0.01320859,0.22845191604505666,0.010821969486083521
0.12324645,0.27718101,0.05936998,0.35637615,0.15247218,0.01737679,0.01397745,0.17025992375085938,-0.047370022808113754
0.28415792,0.01839354,0.29379862,0.02850998,0.00439222,0.275702,0.09504572,0.18058454208707647,-0.037045404471896665
0.09352249,0.30319225,0.14579899,0.0626807,0.02092935,0.07173511,0.3021411,0.1770777992329124,-0.040552147326060745
0.09580394,0.32844215,0.10436649,0.04409137,0.01451065,0.30282793,0.10995748,0.15616270940267168,-0.06146723715630145
0.11756815,0.01664763,0.11239451,0.52730674,0.09353436,0.07213849,0.06041011,0.1917305900480375,-0.02589935651093564
0.01826005,0.11868418,0.00906145,0.47557122,0.07858916,0.23197703,0.06785691,0.12940130526843413,-0.088228641290539
0.25647563,0.16961,0.16411646,0.00783753,0.03808603,0.30563508,0.05823927,0.15913420405893397,-0.058495742500039166
0.17884361,0.47417604,0.03067043,0.20561485,0.01692362,0.01841431,0.07535715,0.1335436920589897,-0.08408625449998344
0.11922186,0.12215263,0.0925205,0.00643729,0.40643694,0.02203876,0.23119202,0.18011732048375678,-0.037512626075216354
0.15393583,0.00671864,0.07343644,0.54822285,0.0384852,0.11184341,0.06735763,0.14405969042041522,-0.07357025613855792
0.18364226,0.49876761,0.02335546,0.0228112,0.02503055,0.10453771,0.14185521,0.130486516996311,-0.08714342956266213
0.00372299,0.12889486,0.33379597,0.00888987,0.22046939,0.2793231,0.02490381,0.2527395950446858,0.03510964848571266
0.04820787,0.28420927,0.46639744,0.01486218,0.09967604,0.03332835,0.05331886,0.2780553911444049,0.06042544458543178
0.09461032,0.22444489,0.13807824,0.30660472,0.03171252,0.00132986,0.20321945,0.1934507315642097,-0.024179214994763443
0.60225472,0.10055073,0.12047548,0.08373277,0.05665422,0.02932957,0.00700251,0.13426101039478153,-0.08336893616419161
0.18994717,0.15703316,0.0596405,0.09235252,0.36136222,0.03021415,0.10945028,0.1706613120042483,-0.04696863455472483
0.30690331,0.02416538,0.04299207,0.15640336,0.09974994,0.23469395,0.13509199,0.12984740971741016,-0.08778253684156298
0.07800321,0.06451852,0.01275973,0.0594186,0.01625635,0.01542633,0.75361725,0.11927234654057875,-0.09835760001839439
0.22929123,0.10310681,0.19389291,0.26982088,0.07644671,0.09995451,0.02748695,0.19479256837739567,-0.022837378181577467
0.07275597,0.10400621,0.05968403,0.20920564,0.06612463,0.47699672,0.0112268,0.1324102883589616,-0.08521965820001154
0.07839855,0.08337394,0.0572786,0.05571556,0.0142309,0.20082687,0.51017558,0.14228895729668808,-0.07534098926228505
0.27079972,0.17009334,0.04527442,0.08286623,0.0219956,0.04764769,0.36132299,0.1369640602597406,-0.08066588629923255
0.06418221,0.05108043,0.03338764,0.78094382,0.02927615,0.01344321,0.02768653,0.14671459065895903,-0.0709153559000141
0.62688164,0.00021869,0.01027772,0.13652016,0.08128854,0.04419577,0.10061747,0.1054246065245145,-0.11220534003445863
0.01356185,0.12781029,0.27166239,0.12419798,0.01098468,0.06998301,0.38179981,0.23307020445753676,0.015440257898563625
0.04629852,0.1117786,0.0106699,0.02395679,0.62006333,0.07272211,0.11451074,0.15514654764516858,-0.062483398913804555
0.25228554,0.11766465,0.29895842,0.12987029,0.06623615,0.10003723,0.03494773,0.21737878969151783,-0.0002511568674553044
0.08675342,0.19773837,0.05233985,0.10585115,0.29819398,0.06639202,0.19273121,0.16572261863508217,-0.05190732792389097
0.0072538,0.16858469,0.19878452,0.32716038,0.01591471,0.13239555,0.14990636,0.2249778247544661,0.007347878195492957
0.05377599,0.41066418,0.17220508,0.06227006,0.16744834,0.06870209,0.06493426,0.20541193264437396,-0.012218013914599174
0.26447907,0.10974533,0.00605374,0.02763102,0.09162604,0.44253187,0.05793292,0.1132745153776562,-0.10435543118131693
0.16915922,0.03179482,6.792e-05,0.18054642,0.10893624,0.25966911,0.24982627,0.12712803301346992,-0.09050191354550322
0.20122328,0.04191934,0.01265656,0.01025793,0.61080691,0.12248805,0.00064793,0.15599888655161423,-0.06163106000735891
0.22327594,0.30749806,0.00123977,0.01252024,0.11009901,0.34510964,0.00025734,0.12301153436301972,-0.09461841219595342
0.00798761,0.21525122,0.11384006,0.20469158,0.43790721,0.01586511,0.00445721,0.2034532167441488,-0.014176729814824346
0.2876273,0.17111676,0.1027684,0.13145838,0.02180426,0.16308815,0.12213675,0.14967551737475446,-0.06795442918421868
0.20684835,0.11048943,0.17820471,0.08838992,0.05478957,0.15806064,0.20321738,0.18421113094359476,-0.03341881561537838
0.05633513,0.13665609,0.27691492,0.24317448,0.11921876,0.13742145,0.03027916,0.25335831061761793,0.035728364058644796
0.09922897,0.03968807,0.25141986,0.11318063,0.43261327,0.05616249,0.00770671,0.25403413377185163,0.0364041872128785
0.06794061,0.26519949,0.0908976,0.04201394,0.27097819,0.23004215,0.03292802,0.17693814123873902,-0.040691805320234115
0.4104968,0.16180405,0.04522988,0.01089462,0.11844724,0.13961743,0.11350998,0.13353408703836525,-0.08409585952060789
0.178869,0.06689817,0.06130811,0.00493693,0.54910193,0.09046555,0.04842031,0.1723809522862648,-0.04524899427270834
0.14798123,0.03824853,0.11616343,0.04419095,0.38704464,0.24820046,0.01817075,0.18263676393065942,-0.03499318262831372
