source_community,target_community,weight,n_edges
4,0,149.7850765144933,55
4,1,174.6877197410168,47
4,2,161.64254978862078,49
4,3,1336.689093869395,1278
4,7,1258.9650416577651,1409
4,5,908.1716899282503,916
4,6,1068.3909864392333,995
3,0,189.11409888168234,70
3,1,151.76921767634764,63
3,2,113.39639521433052,60
3,5,2516.077542533969,2010
3,7,4750.222214673826,3739
3,6,628.2785417772135,690
6,0,279.10190825822923,71
6,1,331.173772622912,77
6,2,300.8573037918815,74
6,7,2750.5693736729263,2374
6,5,1452.2061475077273,1233
7,0,520.7324085864718,156
7,1,488.881447175023,151
7,2,358.6237468513646,138
7,5,1404.0414227574163,1434
1,0,9.95356106422148,1
1,2,12.976272266831629,1
1,5,234.31738060491026,68
5,0,199.1163866635947,68
5,2,207.2626373853859,65
2,0,9.393817580288562,1
