id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W2124741861,W2124741861,10.1186/1745-6150-6-38,Unification of Cas protein families and a simple scenario for the origin and evolution of CRISPR-Cas systems,2011,471,CRISPR and Genetic Engineering,1,CRISPR-Cas / Dna,,,,0,0
https://openalex.org/W2045435533,W2045435533,10.1126/science.1225829,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,2012,17234,CRISPR and Genetic Engineering,19,Programmable Dual-Rna / Programma…,0.0,Programmable Dual-Rna / Programma…,Jinek 2012,0,0
https://openalex.org/W2064815984,W2064815984,10.1126/science.1231143,Multiplex Genome Engineering Using CRISPR/Cas Systems,2013,15705,CRISPR and Genetic Engineering,22,Multiplex / Cas,1.0,Multiplex / Cas,Cong/Mali 2013,0,0
https://openalex.org/W1977709885,W1977709885,10.1038/nprot.2013.143,Genome engineering using the CRISPR-Cas9 system,2013,11704,CRISPR and Genetic Engineering,39,Immune / CRISPR-Cas9,,,,0,0
https://openalex.org/W2003171404,W2003171404,10.1126/science.1232033,RNA-Guided Human Genome Engineering via Cas9,2013,9379,CRISPR and Genetic Engineering,33,Rna-Guided / Cas9,2.0,Rna-Guided / Cas9,Mali 2013,0,0
https://openalex.org/W1973260880,W1973260880,10.1126/science.1247005,Genome-Scale CRISPR-Cas9 Knockout Screening in Human Cells,2013,5508,CRISPR and Genetic Engineering,0,Cancer / Screening,4.0,Cancer / Screening,,0,0
https://openalex.org/W2160051211,W2160051211,10.1016/j.cell.2013.02.022,Repurposing CRISPR as an RNA-Guided Platform for Sequence-Specific Control of Gene Expression,2013,5167,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2036176224,W2036176224,10.1038/nbt.2647,DNA targeting specificity of RNA-guided Cas9 nucleases,2013,4907,CRISPR and Genetic Engineering,37,Targeting Specificity / Targeting,,,,0,0
https://openalex.org/W2101749257,W2101749257,10.1016/j.cell.2013.06.044,CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes,2013,3796,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2112444085,W2112444085,10.1016/j.tibtech.2013.04.004,"ZFN, TALEN, and CRISPR/Cas-based methods for genome engineering",2013,3772,CRISPR and Genetic Engineering,10,International / International Out…,,,,0,0
https://openalex.org/W2170039745,W2170039745,10.1016/j.cell.2013.04.025,One-Step Generation of Mice Carrying Mutations in Multiple Genes by CRISPR/Cas-Mediated Genome Engineering,2013,3553,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2167380395,W2167380395,10.1016/j.cell.2013.08.021,Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity,2013,3368,CRISPR and Genetic Engineering,20,Specificity / Nicking Rna-Guided,,,,0,0
https://openalex.org/W2077659966,W2077659966,10.1038/nbt.2623,High-frequency off-target mutagenesis induced by CRISPR-Cas nucleases in human cells,2013,3326,CRISPR and Genetic Engineering,4,Off-Target Mutagenesis / Off-Targ…,,,,0,0
https://openalex.org/W1976391205,W1976391205,10.1038/nbt.2501,Efficient genome editing in zebrafish using a CRISPR-Cas system,2013,3003,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2000046950,W2000046950,10.1038/nbt.2508,RNA-guided editing of bacterial genomes using CRISPR-Cas systems,2013,2502,CRISPR and Genetic Engineering,35,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W2153344788,W2153344788,10.7554/elife.00471,RNA-programmed genome editing in human cells,2013,2150,CRISPR and Genetic Engineering,36,Transform / Medicine Transform,,,,0,0
https://openalex.org/W2068427957,W2068427957,10.1016/j.cell.2013.12.001,Dynamic Imaging of Genomic Loci in Living Human Cells by an Optimized CRISPR/Cas System,2013,2072,CRISPR and Genetic Engineering,32,Editing / Plant,,,,0,0
https://openalex.org/W2123746851,W2123746851,10.1038/nbt.2507,Targeted genome engineering in human cells with the Cas9 RNA-guided endonuclease,2013,1875,CRISPR and Genetic Engineering,18,Cas9 / Off-Target,,,,0,0
https://openalex.org/W2026520402,W2026520402,10.1038/nbt.2675,CAS9 transcriptional activators for target specificity screening and paired nickases for cooperative genome engineering,2013,1778,CRISPR and Genetic Engineering,18,Cas9 / Off-Target,,,,0,0
https://openalex.org/W2140754284,W2140754284,10.1016/j.cell.2013.08.022,One-Step Generation of Mice Carrying Reporter and Conditional Alleles by CRISPR/Cas-Mediated Genome Engineering,2013,1623,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2115420193,W2115420193,10.1093/nar/gkt135,Genome engineering in Saccharomyces cerevisiae using CRISPR-Cas systems,2013,1619,CRISPR and Genetic Engineering,35,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W2149402050,W2149402050,10.1038/nbt.2673,High-throughput profiling of off-target DNA cleavage reveals RNA-programmed Cas9 nuclease specificity,2013,1538,CRISPR and Genetic Engineering,18,Cas9 / Off-Target,,,,0,0
https://openalex.org/W1986316308,W1986316308,10.1016/j.stem.2013.11.002,Functional Repair of CFTR by CRISPR/Cas9 in Intestinal Stem Cell Organoids of Cystic Fibrosis Patients,2013,1405,Pluripotent Stem Cells Research,3,Cancer / Editing,,,,0,0
https://openalex.org/W2017224987,W2017224987,10.1073/pnas.1308335110,Efficient multiplex biallelic zebrafish genome editing using a CRISPR nuclease system,2013,1376,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2105464583,W2105464583,10.1101/gr.162339.113,Analysis of off-target effects of CRISPR/Cas-derived RNA-guided endonucleases and nickases,2013,1376,CRISPR and Genetic Engineering,18,Cas9 / Off-Target,,,,0,0
https://openalex.org/W2061650108,W2061650108,10.1038/nmeth.2600,RNA-guided gene activation by CRISPR-Cas9–based transcription factors,2013,1348,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2075230442,W2075230442,10.1038/nmeth.2598,CRISPR RNA–guided activation of endogenous human genes,2013,1269,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2099062342,W2099062342,10.1038/nprot.2013.132,CRISPR interference (CRISPRi) for sequence-specific control of gene expression,2013,1257,CRISPR and Genetic Engineering,7,Scp / Specificity,,,,0,0
https://openalex.org/W2040665850,W2040665850,10.1093/nar/gkt780,"Demonstration of CRISPR/Cas9/sgRNA-mediated targeted gene modification in Arabidopsis, tobacco, sorghum and rice",2013,1254,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W2089589904,W2089589904,10.1038/nmeth.2649,Cas9 as a versatile tool for engineering biology,2013,1215,CRISPR and Genetic Engineering,36,Transform / Medicine Transform,,,,0,0
https://openalex.org/W2120932131,W2120932131,10.1093/nar/gkt520,Programmable repression and activation of bacterial gene expression using an engineered CRISPR-Cas system,2013,1199,CRISPR and Genetic Engineering,35,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W2008033906,W2008033906,10.1002/jgm.2698,Gene therapy clinical trials worldwide to 2012 – an update,2013,1156,CRISPR and Genetic Engineering,2,Editing / Cas9,5.0,Editing / Cas9,,0,0
https://openalex.org/W2131395804,W2131395804,10.1038/nbt.2800,Genome-wide recessive genetic screening in mammalian cells with a lentiviral CRISPR-guide RNA library,2013,1121,CRISPR and Genetic Engineering,0,Cancer / Screening,4.0,Cancer / Screening,,0,0
https://openalex.org/W2060297895,W2060297895,10.1038/nmeth.2641,Engineering the Caenorhabditis elegans genome using Cas9-triggered homologous recombination,2013,1065,CRISPR and Genetic Engineering,9,Editing / Elegans,,,,0,0
https://openalex.org/W2138993899,W2138993899,10.1534/genetics.113.152710,Genome Engineering of <i>Drosophila</i> with the CRISPR RNA-Guided Cas9 Nuclease,2013,1063,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2133702185,W2133702185,10.1038/nmeth.2532,Heritable genome editing in C. elegans via a CRISPR-Cas9 system,2013,944,CRISPR and Genetic Engineering,9,Editing / Elegans,,,,0,0
https://openalex.org/W2122941722,W2122941722,10.1016/j.celrep.2013.06.020,Highly Efficient Targeted Mutagenesis of Drosophila with the CRISPR/Cas9 System,2013,916,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2001497035,W2001497035,10.1038/cr.2013.45,Genome editing with RNA-guided Cas9 nuclease in Zebrafish embryos,2013,832,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W1963554509,W1963554509,10.1093/mp/sst119,RNA-Guided Genome Editing in Plants Using a CRISPR–Cas System,2013,815,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W4206892629,W4206892629,10.1038/nmeth.2681,Orthogonal Cas9 proteins for RNA-guided gene regulation and editing,2013,806,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2103081715,W2103081715,10.1038/cr.2013.122,"Multiplexed activation of endogenous genes by CRISPR-on, an RNA-guided transcriptional activator system",2013,765,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2149480270,W2149480270,10.1073/pnas.1313587110,Efficient genome engineering in human pluripotent stem cells using Cas9 from <i>Neisseria meningitidis</i>,2013,689,CRISPR and Genetic Engineering,27,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W2046639072,W2046639072,10.1016/j.jgg.2013.12.001,Targeted Mutagenesis in Zea mays Using TALENs and the CRISPR/Cas System,2013,670,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W2121633690,W2121633690,10.1101/gr.161638.113,Highly efficient CRISPR/Cas9-mediated knock-in in zebrafish by homology-independent DNA repair,2013,650,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2150600737,W2150600737,10.1534/genetics.113.156737,Highly Improved Gene Targeting by Germline-Specific Cas9 Expression in <i>Drosophila</i>,2013,640,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2132401721,W2132401721,10.1093/nar/gkt714,CRISPR/Cas9 systems targeting β-globin and CCR5 genes have substantial off-target activity,2013,604,CRISPR and Genetic Engineering,18,Cas9 / Off-Target,,,,0,0
https://openalex.org/W2163820831,W2163820831,10.1186/1746-4811-9-39,Plant genome editing made easy: targeted mutagenesis in model and crop plants using the CRISPR/Cas system,2013,592,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W1731173485,W1731173485,10.1111/jipb.12152,Self‐processing of ribozyme‐flanked RNAs into guide RNAs <i>in vitro</i> and <i>in vivo</i> for CRISPR‐mediated genome editing,2013,577,CRISPR and Genetic Engineering,35,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W1966452674,W1966452674,10.1038/srep02510,Harnessing the CRISPR/Cas9 system to disrupt latent HIV-1 provirus,2013,565,CRISPR and Genetic Engineering,29,Cas9 / Hiv-1,,,,0,0
https://openalex.org/W2134268326,W2134268326,10.1242/dev.099085,Efficient CRISPR/Cas9 genome editing with low off-target effects in zebrafish,2013,498,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2009880400,W2009880400,10.1038/srep03355,Generation of mutant mice by pronuclear injection of circular plasmid expressing Cas9 and single guided RNA,2013,434,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2011497273,W2011497273,10.1073/pnas.1318481110,Optimized gene editing technology for <i>Drosophila melanogaster</i> using germ line-specific Cas9,2013,433,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2123205135,W2123205135,10.1534/g3.113.008847,RNA-Guided Genome Editing for Target Gene Mutations in Wheat,2013,396,CRISPR and Genetic Engineering,40,Editing / Dawn,,,,0,0
https://openalex.org/W2048010932,W2048010932,10.1371/journal.pone.0068708,Heritable and Precise Zebrafish Genome Editing Using a CRISPR-Cas System,2013,377,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2076785026,W2076785026,10.4161/rna.24321,The tracrRNA and Cas9 families of type II CRISPR-Cas immunity systems,2013,370,CRISPR and Genetic Engineering,1,CRISPR-Cas / Dna,,,,0,0
https://openalex.org/W2170978054,W2170978054,10.1534/genetics.113.153825,Highly Efficient Genome Modifications Mediated by CRISPR/Cas9 in <i>Drosophila</i>,2013,361,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2044167113,W2044167113,10.1371/journal.pgen.1003454,Cytotoxic Chromosomal Targeting by CRISPR/Cas Systems Can Reshape Bacterial Genomes and Expel or Remodel Pathogenicity Islands,2013,352,CRISPR and Genetic Engineering,1,CRISPR-Cas / Dna,,,,0,0
https://openalex.org/W2059363769,W2059363769,10.1093/nar/gkt1074,Phylogeny of Cas9 determines functional exchangeability of dual-RNA and Cas9 among orthologous type II CRISPR-Cas systems,2013,348,CRISPR and Genetic Engineering,28,Cas9 / Dna,,,,0,0
https://openalex.org/W2167299815,W2167299815,10.1038/msb.2012.66,Genome‐scale engineering for systems and synthetic biology,2013,331,CRISPR and Genetic Engineering,35,Editing / CRISPR-Cas9,,,,0,0
https://openalex.org/W2036005489,W2036005489,10.1038/ncomms3087,CRISPR-Cas and restriction–modification systems are compatible and increase phage resistance,2013,297,CRISPR and Genetic Engineering,1,CRISPR-Cas / Dna,,,,0,0
https://openalex.org/W2138281066,W2138281066,10.1101/gr.163394.113,Highly efficient gene knockout in mice and zebrafish with RNA-guided endonucleases,2013,288,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W1930053815,W1930053815,10.1002/dvg.22720,Simple and efficient CRISPR/Cas9‐mediated targeted mutagenesis in <i>Xenopus tropicalis</i>,2013,284,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2145247297,W2145247297,10.1534/genetics.113.155853,Heritable Gene Knockout in <i>Caenorhabditis elegans</i> by Direct Injection of Cas9–sgRNA Ribonucleoproteins,2013,263,CRISPR and Genetic Engineering,9,Editing / Elegans,,,,0,0
https://openalex.org/W2001487604,W2001487604,10.4161/rna.24203,crRNA and tracrRNA guide Cas9-mediated DNA interference in<i>Streptococcus thermophilus</i>,2013,240,CRISPR and Genetic Engineering,1,CRISPR-Cas / Dna,,,,0,0
https://openalex.org/W2094480378,W2094480378,10.1093/nar/gkt772,Efficient generation of large-scale genome-modified mice using gRNA and CAS9 endonuclease,2013,221,RNA Interference and Gene Delivery,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2056016146,W2056016146,10.1016/j.jgg.2013.12.004,CRISPR/Cas9 and Genome Editing in Drosophila,2013,218,CRISPR and Genetic Engineering,13,Cas9 / Editing,6.0,Cas9 / Editing,,0,0
https://openalex.org/W2050480410,W2050480410,10.1126/science.1258096,The new frontier of genome engineering with CRISPR-Cas9,2014,6935,CRISPR and Genetic Engineering,26,Frontier / CRISPR-Cas9,,,,0,0
https://openalex.org/W2096261947,W2096261947,10.1016/j.cell.2014.05.010,Development and Applications of CRISPR-Cas9 for Genome Engineering,2014,5859,CRISPR and Genetic Engineering,25,Optogenetic Control / Nuclear,,,,0,0
https://openalex.org/W2039705224,W2039705224,10.1038/nbt.2842,"CRISPR-Cas systems for editing, regulating and targeting genomes",2014,3178,CRISPR and Genetic Engineering,31,Targeting Genomes / Targeting,,,,0,0
https://openalex.org/W2127862779,W2127862779,10.1038/nature14136,Genome-scale transcriptional activation by an engineered CRISPR-Cas9 complex,2014,2935,CRISPR and Genetic Engineering,30,Editing / Dna,,,,0,0
https://openalex.org/W2100122648,W2100122648,10.1186/s13059-014-0554-4,MAGeCK enables robust identification of essential genes from genome-scale CRISPR/Cas9 knockout screens,2014,2779,CRISPR and Genetic Engineering,0,Cancer / Screening,4.0,Cancer / Screening,,0,0
https://openalex.org/W2106070783,W2106070783,10.1093/nar/gku936,Easy quantitative assessment of genome editing by sequence trace decomposition,2014,2564,CRISPR and Genetic Engineering,23,Editing / Cas9,,,,0,0
https://openalex.org/W2115603949,W2115603949,10.1093/bioinformatics/btu048,Cas-OFFinder: a fast and versatile algorithm that searches for potential off-target sites of Cas9 RNA-guided endonucleases,2014,2436,CRISPR and Genetic Engineering,16,Off-Target / Cas9,,,,0,0
https://openalex.org/W2107959600,W2107959600,10.1016/j.cell.2014.02.001,Crystal Structure of Cas9 in Complex with Guide RNA and Target DNA,2014,2348,CRISPR and Genetic Engineering,28,Cas9 / Dna,,,,0,0
https://openalex.org/W2003797386,W2003797386,10.1038/nbt.3117,GUIDE-seq enables genome-wide profiling of off-target cleavage by CRISPR-Cas nucleases,2014,2305,CRISPR and Genetic Engineering,16,Off-Target / Cas9,,,,0,0
https://openalex.org/W1972476556,W1972476556,10.1016/j.cell.2014.09.014,CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling,2014,2049,CRISPR and Genetic Engineering,3,Cancer / Editing,,,,0,0
https://openalex.org/W1980201684,W1980201684,10.1038/nbt.2969,Simultaneous editing of three homoeoalleles in hexaploid bread wheat confers heritable resistance to powdery mildew,2014,2040,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W2108038398,W2108038398,10.1038/nbt.2808,Improving CRISPR-Cas nuclease specificity using truncated guide RNAs,2014,2023,CRISPR and Genetic Engineering,38,Truncated Guide / Truncated,,,,0,0
https://openalex.org/W1970196890,W1970196890,10.1038/nature13011,DNA interrogation by the CRISPR RNA-guided endonuclease Cas9,2014,1886,CRISPR and Genetic Engineering,28,Cas9 / Dna,,,,0,0
https://openalex.org/W2116534141,W2116534141,10.1101/gr.171322.113,Highly efficient RNA-guided genome editing in human cells via delivery of purified Cas9 ribonucleoproteins,2014,1876,CRISPR and Genetic Engineering,9,Editing / Elegans,,,,0,0
https://openalex.org/W1968342623,W1968342623,10.1038/nbt.3026,Rational design of highly active sgRNAs for CRISPR-Cas9–mediated gene inactivation,2014,1721,CRISPR and Genetic Engineering,0,Cancer / Screening,4.0,Cancer / Screening,,0,0
https://openalex.org/W2165016943,W2165016943,10.1186/s12870-014-0327-y,A CRISPR/Cas9 toolkit for multiplex genome editing in plants,2014,1695,CRISPR and Genetic Engineering,17,Editing / Cas9,7.0,Editing / Cas9,,0,0
https://openalex.org/W2073217307,W2073217307,10.1038/nbt.3081,Cationic lipid-mediated delivery of proteins enables efficient protein-based genome editing in vitro and in vivo,2014,1471,RNA Interference and Gene Delivery,2,Editing / Cas9,5.0,Editing / Cas9,,0,0
