source_community,target_community,weight,n_edges
5,0,379.9619940868655,330
5,1,2317.0305269931837,1676
5,4,2694.478125853962,1981
5,3,461.9574372580955,383
5,6,1720.3087673853543,1181
5,7,978.6215821735069,755
5,2,2672.3093711984047,1809
7,0,392.1037851228266,327
7,1,643.1087008446223,533
7,4,1411.3388909822852,1135
7,3,880.5547741706846,638
7,6,1158.9394599331654,864
7,2,583.6356575828817,500
3,0,477.08476152286147,367
3,1,919.2789560982046,708
3,4,620.9688406696594,530
3,6,1413.5642485805574,917
3,2,523.213609317667,409
1,0,1094.5190269036218,860
1,6,2591.062417553558,1823
1,4,2506.3613059151266,1980
1,2,3604.3130206484716,2586
6,0,840.5162810768252,646
6,4,739.3405062997749,701
6,2,3322.218227515279,2322
0,4,710.500959407784,626
0,2,249.60709304830985,251
4,2,7270.738839323253,4380
