parameter,label,window_index,window,standardized_value,source_column,provenance,manual_values
RS,RS (reference span),1,2004-2012,-1.5922003694831277,RS_proxy_raw,computed,0
RS,RS (reference span),2,2013-2015,-0.013820736714520505,RS_proxy_raw,computed,0
RS,RS (reference span),3,2016-2018,0.9970513400797227,RS_proxy_raw,computed,0
RS,RS (reference span),4,2019-2021,1.1060999739463635,RS_proxy_raw,computed,0
RS,RS (reference span),5,2022-2024,-0.4971302078284356,RS_proxy_raw,computed,0
PDE,PDE (diffusion potential),1,2004-2012,-1.305123100202391,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),2,2013-2015,-0.5404159164078775,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),3,2016-2018,1.0208686591806466,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),4,2019-2021,1.312999076098927,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),5,2022-2024,-0.4883287186693053,PDE_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),1,2004-2012,-1.8060212874186907,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),2,2013-2015,1.035608530405081,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),3,2016-2018,0.7916958968437675,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),4,2019-2021,0.12863011070052854,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),5,2022-2024,-0.149913250530686,Uzzi_proxy_raw,computed,0
DeltaQ,$\Delta Q$ directionality,1,2004-2012,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,2,2013-2015,2.7842997573587147,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,3,2016-2018,1.2949257028001238,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,4,2019-2021,0.7138512909474218,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,5,2022-2024,0.19536415406740207,DeltaQ_directionality_raw,computed,0
