source_community,target_community,weight,n_edges
2,0,211.75509010374142,95
2,1,1540.232067680227,1432
2,7,772.0544829083121,618
2,3,1392.7470989258481,966
2,4,1952.906872531686,1394
2,6,476.44639081581414,362
2,5,603.7637495862137,465
3,0,58.96818449934596,31
3,1,735.3434989067598,668
3,7,304.93165866122143,245
3,6,319.5198181649297,252
3,4,3237.2593420464373,1863
3,5,232.91625784699534,183
6,0,104.10950437319167,47
6,1,1368.5645363560316,1236
6,7,2675.414612569906,1654
6,5,608.6707408958797,447
6,4,1764.0975062799757,1210
4,0,89.52557640550495,51
4,1,787.8466329561359,766
4,7,1313.2814410232543,945
4,5,528.5248454256634,407
1,0,835.179032236485,240
1,5,3650.2604103355666,2666
1,7,1860.575544903114,1671
5,0,113.98050053083136,43
5,7,1403.6774355881926,875
7,0,203.65685737078084,89
