parameter,label,window_index,window,standardized_value,source_column,provenance,manual_values
RTD,RTD (reference target diversity),1,2006-2008,-1.8224088012032045,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),2,2009-2011,0.95916094589101,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),3,2012-2014,0.8315545503259245,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),4,2015-2018,0.19867339864415096,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),5,2019-2024,-0.16698009365787622,RTD_proxy_raw,computed,0
BurtIP,Burt IP (structural holes),1,2006-2008,-1.910407469770111,BurtIP_proxy_raw,computed,0
BurtIP,Burt IP (structural holes),2,2009-2011,0.8187170936808174,BurtIP_proxy_raw,computed,0
BurtIP,Burt IP (structural holes),3,2012-2014,0.7685808081025842,BurtIP_proxy_raw,computed,0
BurtIP,Burt IP (structural holes),4,2015-2018,0.2978068755653673,BurtIP_proxy_raw,computed,0
BurtIP,Burt IP (structural holes),5,2019-2024,0.025302692421342452,BurtIP_proxy_raw,computed,0
B,$B$ (bridge centrality),1,2006-2008,-1.9320653396677803,B_proxy_raw,computed,0
B,$B$ (bridge centrality),2,2009-2011,0.7724426428920351,B_proxy_raw,computed,0
B,$B$ (bridge centrality),3,2012-2014,0.7454993176504139,B_proxy_raw,computed,0
B,$B$ (bridge centrality),4,2015-2018,0.32734794711121024,B_proxy_raw,computed,0
B,$B$ (bridge centrality),5,2019-2024,0.08677543201411307,B_proxy_raw,computed,0
DeltaQ,$\Delta Q$ directionality,1,2006-2008,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,2,2009-2011,2.879509229140218,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,3,2012-2014,1.9653854561412822,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,4,2015-2018,1.067311243492164,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,5,2019-2024,0.7321643814398411,DeltaQ_directionality_raw,computed,0
