source_community,target_community,weight,n_edges
6,0,238.60590797168078,122
6,1,149.21215496465604,68
6,2,144.60637111218148,93
6,5,642.8240060631322,510
6,4,572.4363696271765,615
6,7,527.8675116053032,566
6,3,1066.9909406923584,1100
3,0,344.1897602747342,161
3,1,415.2513330946915,139
3,2,429.7165506401878,256
3,4,1544.5770031779396,1384
3,5,1299.5863654438592,969
3,7,518.1229154651393,590
7,0,518.1624860038293,327
7,1,179.91415661946067,94
7,2,145.2493590550074,117
7,4,861.3754980890831,892
7,5,1519.474142804172,1186
4,0,273.6247495378206,127
4,1,215.0971128605206,93
4,2,205.16171999684832,148
4,5,386.0559531328529,320
5,0,566.7483917918787,227
5,1,331.09712136395,88
5,2,355.73253604568185,116
2,0,49.970186708545846,27
2,1,68.27958774094405,24
1,0,52.59333014167573,17
