id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W2065786458,W2065786458,10.1101/gad.12.13.2048,Self-renewal of pluripotent embryonic stem cells is mediated via activation of STAT3,1998,1536,Pluripotent Stem Cells Research,34,Stem / Pluripotent,7.0,Stem / Pluripotent,,0,0
https://openalex.org/W2111888351,W2111888351,10.1101/gad.1303605,Embryonic stem cell differentiation: emergence of a new era in biology and medicine,2005,1155,Pluripotent Stem Cells Research,4,Stem / Pluripotent,6.0,Stem / Pluripotent,,0,0
https://openalex.org/W2125987139,W2125987139,10.1016/j.cell.2006.07.024,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,2006,26514,Pluripotent Stem Cells Research,20,Klf4 / Stem,0.0,Klf4 / Stem,Takahashi/Yamanaka 2006,0,0
https://openalex.org/W2015396326,W2015396326,10.1038/nature05284,A protein interaction network for pluripotency of embryonic stem cells,2006,1106,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2152363904,W2152363904,10.1095/biolreprod.106.053686,Gene Expression Dynamics During Germline Specification in Mice Identified by Quantitative Single-Cell Gene Expression Profiling1,2006,288,Pluripotent Stem Cells Research,34,Stem / Pluripotent,7.0,Stem / Pluripotent,,0,0
https://openalex.org/W2040404307,W2040404307,10.1634/stemcells.2006-0383,Concise Review: Epigenetic Mechanisms Contribute to Pluripotency and Cell Lineage Determination of Embryonic Stem Cells,2006,191,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W1558096440,W1558096440,10.1186/1471-213x-6-34,Transcriptional repression and DNA hypermethylation of a small set of ES cell marker genes in male germline stem cells,2006,125,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2138977668,W2138977668,10.1016/j.cell.2007.11.019,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,2007,20167,Pluripotent Stem Cells Research,27,Stem / Pluripotent Stem,1.0,Stem / Pluripotent Stem,Takahashi 2007,0,0
https://openalex.org/W2142046859,W2142046859,10.1126/science.1151526,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,2007,10263,Pluripotent Stem Cells Research,36,Pluripotent Stem / Pluripotent,2.0,Pluripotent Stem / Pluripotent,Yu 2007,0,0
https://openalex.org/W2053911973,W2053911973,10.1038/nature05934,Generation of germline-competent induced pluripotent stem cells,2007,4228,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2002179012,W2002179012,10.1038/nature06534,Reprogramming of human somatic cells to pluripotency with defined factors,2007,2860,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W1978173381,W1978173381,10.1038/nbt1374,Generation of induced pluripotent stem cells without Myc from mouse and human fibroblasts,2007,2774,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2010031978,W2010031978,10.1038/nature05944,In vitro reprogramming of fibroblasts into a pluripotent ES-cell-like state,2007,2661,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2039551265,W2039551265,10.1016/j.stem.2007.05.014,Directly Reprogrammed Fibroblasts Show Global Epigenetic Remodeling and Widespread Tissue Contribution,2007,1718,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2104978512,W2104978512,10.1126/science.1152092,Treatment of Sickle Cell Anemia Mouse Model with iPS Cells Generated from Autologous Skin,2007,1493,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W1974365957,W1974365957,10.1038/ncb1589,Pluripotency governed by Sox2 via regulation of Oct3/4 expression in mouse embryonic stem cells,2007,1256,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2054521968,W2054521968,10.1038/nprot.2007.418,Induction of pluripotent stem cells from fibroblast cultures,2007,1071,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2065746091,W2065746091,10.1242/dev.02787,How is pluripotency determined and maintained?,2007,786,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2106921118,W2106921118,10.1101/gad.1588207,Jmjd1a and Jmjd2c histone H3 Lys 9 demethylases regulate self-renewal in embryonic stem cells,2007,513,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2168639074,W2168639074,10.4049/jimmunol.179.3.1595,Adult Human Fibroblasts Are Potent Immunoregulatory Cells and Functionally Equivalent to Mesenchymal Stem Cells,2007,344,Mesenchymal stem cell research,4,Stem / Pluripotent,6.0,Stem / Pluripotent,,0,0
https://openalex.org/W2152677707,W2152677707,10.1074/mcp.m700460-mcp200,"Stable Isotope Labeling by Amino Acids in Cell Culture (SILAC) and Proteome Quantitation of Mouse Embryonic Stem Cells to a Depth of 5,111 Proteins",2007,278,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2162653961,W2162653961,10.1186/gb-2007-8-8-r163,Comparative transcriptome analysis of embryonic and adult stem cells with extended and limited differentiation capacity,2007,146,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2104063770,W2104063770,10.1093/humrep/dem136,Reprogramming following somatic cell nuclear transfer in primates is dependent upon nuclear remodeling,2007,116,Reproductive Biology and Fertility,22,Stem / Nuclear,,,,0,0
https://openalex.org/W1993252465,W1993252465,10.1371/journal.pgen.0030145,Systematic Identification of cis-Regulatory Sequences Active in Mouse and Human Embryonic Stem Cells,2007,88,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2008174800,W2008174800,10.1634/stemcells.2007-0131,Global Epiproteomic Signatures Distinguish Embryonic Stem Cells from Differentiated Cells,2007,73,Epigenetics and DNA Methylation,2,Stem / Embryonic,,,,0,0
https://openalex.org/W1996903810,W1996903810,10.1186/1471-213x-7-46,Silencing of core transcription factors in human EC cells highlights the importance of autocrine FGF signaling for self-renewal,2007,67,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2073759231,W2073759231,10.1038/ng.127,An embryonic stem cell–like gene expression signature in poorly differentiated aggressive human tumors,2008,2581,Cancer Cells and Metastasis,13,Stem / Cancer,,,,0,0
https://openalex.org/W1988294855,W1988294855,10.1016/j.cell.2008.04.043,Integration of External Signaling Pathways with the Core Transcriptional Network in Embryonic Stem Cells,2008,2554,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2157645703,W2157645703,10.1016/j.cell.2008.07.041,Disease-Specific Induced Pluripotent Stem Cells,2008,2173,Pluripotent Stem Cells Research,1,Stem / Pluripotent Stem,,,,0,0
https://openalex.org/W2126780067,W2126780067,10.1038/nature07314,In vivo reprogramming of adult pancreatic exocrine cells to β-cells,2008,2002,Pancreatic function and diabetes,7,Reprogramming / Stem,,,,0,0
https://openalex.org/W2032570745,W2032570745,10.1126/science.1164270,Generation of Mouse Induced Pluripotent Stem Cells Without Viral Vectors,2008,1992,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2079870118,W2079870118,10.1126/science.1158799,Induced Pluripotent Stem Cells Generated from Patients with ALS Can Be Differentiated into Motor Neurons,2008,1980,Pluripotent Stem Cells Research,1,Stem / Pluripotent Stem,,,,0,0
https://openalex.org/W2168967248,W2168967248,10.1016/j.cell.2008.02.008,Differentiation of Embryonic Stem Cells to Clinically Relevant Populations: Lessons from Embryonic Development,2008,1726,Pluripotent Stem Cells Research,9,Stem / Pluripotent,3.0,Stem / Pluripotent,,0,0
https://openalex.org/W2050689355,W2050689355,10.1126/science.1162494,Induced Pluripotent Stem Cells Generated Without Viral Integration,2008,1656,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2047015004,W2047015004,10.1038/nbt1418,Induction of pluripotent stem cells by defined factors is greatly improved by small-molecule compounds,2008,1597,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W1969015262,W1969015262,10.1038/nature07056,Dissecting direct reprogramming through integrative genomic analysis,2008,1470,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W2145492799,W2145492799,10.1038/nature07677,Induced pluripotent stem cells from a spinal muscular atrophy patient,2008,1439,Neurogenetic and Muscular Disorders Research,1,Stem / Pluripotent Stem,,,,0,0
https://openalex.org/W2108241558,W2108241558,10.1016/j.cell.2008.01.015,"Stem Cells, the Molecular Circuitry of Pluripotency and Nuclear Reprogramming",2008,1425,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W1981809048,W1981809048,10.1038/nbt.1503,Efficient and rapid generation of induced pluripotent stem cells from human keratinocytes,2008,1401,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
https://openalex.org/W4232123484,W4232123484,10.1016/j.cell.2008.07.020,Connecting microRNA Genes to the Core Transcriptional Regulatory Circuitry of Embryonic Stem Cells,2008,1364,MicroRNA in disease regulation,2,Stem / Embryonic,,,,0,0
https://openalex.org/W1965428318,W1965428318,10.1016/j.cell.2008.02.039,An Extended Transcriptional Network for Pluripotency of Embryonic Stem Cells,2008,1348,Pluripotent Stem Cells Research,2,Stem / Embryonic,,,,0,0
https://openalex.org/W2112485709,W2112485709,10.1038/nbt.1502,Induction of pluripotent stem cells from primary human fibroblasts with only Oct4 and Sox2,2008,1329,Pluripotent Stem Cells Research,3,Stem / Pluripotent,5.0,Stem / Pluripotent,,0,0
