,B,degree,RS,field_simpson,field_variety,DeltaQ0,Uzzi,RTD,community_variety,BurtIP,effective_size,constraint_inv,PDE
B,1.0,-0.12407876414530744,0.2708283575535259,0.2804538205685125,0.16844243605499656,0.20906084786281068,-0.07120002665924217,0.33500022612505986,0.21297024092150377,0.9113451192974489,0.2292273420634125,0.20299203609358524,0.27654801823868597
degree,-0.12407876414530745,1.0,-0.24159246441282367,-0.24187321517242483,0.2663274238227937,0.1422824115833617,0.11023247549072356,-0.23542566338587143,0.33851185283514845,0.1150946270215378,0.8989413313517091,0.8935821339593787,-0.1475030249062393
RS,0.27082835755352586,-0.24159246441282364,0.9999999999999998,0.9486113011363104,0.664167336487796,0.05752210293372336,0.19670135738713967,0.6792603860182891,0.4653734763579859,0.2099377682983505,-0.13057370363774548,-0.1606915219149695,0.9361611037072827
field_simpson,0.2804538205685125,-0.24187321517242483,0.9486113011363105,1.0,0.6687543314568332,0.05736569197116628,0.12745744612721804,0.7410669217678997,0.4900479961564482,0.21214535127931045,-0.12689437898139372,-0.1554841262170493,0.9724414902682986
field_variety,0.16844243605499654,0.2663274238227937,0.664167336487796,0.6687543314568332,1.0,0.060853686438291345,0.18214928458450252,0.4509793390909736,0.7303278026194215,0.2645559899123604,0.3342631120863255,0.29984440867188594,0.779211718706095
DeltaQ0,0.20906084786281068,0.14228241158336166,0.05752210293372336,0.05736569197116629,0.06085368643829135,1.0,-0.017641907620274264,0.02268919481654133,0.02636270909240551,0.23248451505722337,0.2039744400228676,0.194812700104477,0.054088401420333464
Uzzi,-0.07120002665924217,0.11023247549072356,0.19670135738713967,0.12745744612721804,0.18214928458450255,-0.017641907620274264,1.0,0.004281033558581116,0.10569260037422533,-0.03318717332136245,0.07341600897602989,0.07456452770205398,0.15123425033782298
RTD,0.3350002261250598,-0.23542566338587143,0.6792603860182891,0.7410669217678997,0.4509793390909736,0.022689194816541327,0.004281033558581117,0.9999999999999998,0.6817729465839717,0.25724742469835477,-0.10494307615616653,-0.12684058182481525,0.7132500904159964
community_variety,0.21297024092150377,0.33851185283514845,0.4653734763579859,0.4900479961564481,0.7303278026194215,0.02636270909240551,0.10569260037422534,0.6817729465839716,1.0,0.3168991619802191,0.4165875205163462,0.39123868774268145,0.5735661983209436
BurtIP,0.9113451192974488,0.11509462702153782,0.20993776829835048,0.21214535127931045,0.2645559899123604,0.23248451505722337,-0.03318717332136245,0.25724742469835477,0.3168991619802191,1.0,0.4666103879661171,0.4301252219303421,0.2365152383060387
effective_size,0.2292273420634125,0.8989413313517092,-0.13057370363774548,-0.1268943789813937,0.33426311208632553,0.2039744400228676,0.07341600897602989,-0.10494307615616652,0.4165875205163462,0.46661038796611704,1.0,0.9504274866420761,-0.03883960114508066
constraint_inv,0.2029920360935852,0.8935821339593787,-0.1606915219149695,-0.1554841262170493,0.29984440867188594,0.194812700104477,0.07456452770205398,-0.12684058182481525,0.39123868774268145,0.43012522193034214,0.950427486642076,1.0,-0.07094691006256382
PDE,0.27654801823868597,-0.1475030249062393,0.9361611037072826,0.9724414902682987,0.779211718706095,0.054088401420333464,0.15123425033782298,0.7132500904159964,0.5735661983209436,0.23651523830603868,-0.03883960114508066,-0.07094691006256382,1.0
