metric,future_outcome,rho,ci_low,ci_high,n,n_bootstrap,definition_linked_internal_check
B,community_reach,-0.02103500796369162,-0.07193280214331102,0.03279442101996641,5087,300,0
B,field_entropy,0.0122340095524091,-0.03483615531162272,0.050736660010876594,5087,300,0
B,cross_community_adoption,0.03129797750957797,-0.0023296510663385053,0.07432170846488062,5087,300,0
B,path_shortening,0.18243001826287839,0.13488900712267887,0.2249240153515028,5087,300,0
B,modularity_shock,0.14612884904776097,0.08281414635718048,0.1947023923027993,5087,300,1
B,partition_change,0.0795388499724469,0.024366043522740688,0.13079307528826206,5087,300,0
B,boundary_mixing,0.07150302088879396,0.014105006543976369,0.13581697072226415,5087,300,0
B,hub_formation,0.027054956888833703,-0.014084748794213162,0.05020623874854239,5087,300,0
RS,community_reach,0.015352515320643892,-0.0372133587524665,0.07383285224518535,5087,300,0
RS,field_entropy,0.10881999291503233,0.06203304427661977,0.15087589827356618,5087,300,0
RS,cross_community_adoption,0.10717014120300947,0.04221808062205397,0.18168220108864064,5087,300,0
RS,path_shortening,0.3420215773506019,0.2744544781533836,0.3912903851853904,5087,300,0
RS,modularity_shock,-0.045991785521436034,-0.1157079687599438,0.018905592209255327,5087,300,1
RS,partition_change,0.21923625616939052,0.1341786741749869,0.2938644390976678,5087,300,0
RS,boundary_mixing,-0.14814388143384327,-0.22210560508409885,-0.08940566228670646,5087,300,0
RS,hub_formation,0.005369867710578924,-0.01364360481538503,0.022620702151802733,5087,300,0
DeltaQ0,community_reach,0.0003760551097962085,-0.0336376787624581,0.03261278759524657,5087,300,0
DeltaQ0,field_entropy,0.038690343293381675,0.011049180392762866,0.06393685722022997,5087,300,0
DeltaQ0,cross_community_adoption,0.16044664533816388,0.12037578977004587,0.1997715313987289,5087,300,0
DeltaQ0,path_shortening,0.006595562281787854,-0.04243944094834475,0.053963792568396445,5087,300,0
DeltaQ0,modularity_shock,0.5402838290762813,0.44059321768372245,0.6060318250095781,5087,300,1
DeltaQ0,partition_change,0.06579303738262471,0.010467264036169564,0.11329011449671145,5087,300,0
DeltaQ0,boundary_mixing,0.537711018367675,0.4793945376134602,0.5900131529214176,5087,300,0
DeltaQ0,hub_formation,-0.0005936484655186834,-0.03060905799338366,0.03273105337139851,5087,300,0
Uzzi,community_reach,0.0037737520096972855,-0.03136594565013298,0.02545651659312801,2424,300,0
Uzzi,field_entropy,-0.0318755598550274,-0.09900310612360809,0.02104576247849745,2424,300,0
Uzzi,cross_community_adoption,-0.04672307552110657,-0.14450546358952884,0.1151251224147385,2424,300,0
Uzzi,path_shortening,0.05029356373334434,0.01301478957029144,0.18916533481752432,2424,300,0
Uzzi,modularity_shock,-0.042746963122137764,-0.06407413380436022,0.029523501245391173,2424,300,1
Uzzi,partition_change,-0.055409201622906926,-0.07089067450625673,0.07152553222295614,2424,300,0
Uzzi,boundary_mixing,-0.009410041238476916,-0.170750352560622,0.04714400522440089,2424,300,0
Uzzi,hub_formation,-0.047768116606499114,-0.07195155247402307,-0.003665844171361389,2424,300,0
RTD,community_reach,0.07423874590584627,0.010696917697575473,0.14616706003890537,5087,300,0
RTD,field_entropy,0.08522669676805428,0.046232139511739545,0.12855418893294143,5087,300,0
RTD,cross_community_adoption,0.19641004523979416,0.1048783196346727,0.29800607626114567,5087,300,0
RTD,path_shortening,0.33729522961761865,0.259591191979864,0.39852529143022053,5087,300,0
RTD,modularity_shock,-0.06702870940306876,-0.15106395451822083,0.01135105732219854,5087,300,1
RTD,partition_change,0.29775372123422167,0.19962727446863612,0.42031021982170297,5087,300,0
RTD,boundary_mixing,-0.235519413682235,-0.29509766052029235,-0.19830356764024157,5087,300,0
RTD,hub_formation,0.003985147411238913,-0.017868000420714875,0.020732913477810654,5087,300,0
BurtIP,community_reach,-0.0181028210574063,-0.07193644470481957,0.04185376853013679,5087,300,0
BurtIP,field_entropy,0.018142172426030286,-0.024209320878982653,0.06629183450150286,5087,300,0
BurtIP,cross_community_adoption,0.031729426966997834,-0.006084876908315391,0.07865905296481134,5087,300,0
BurtIP,path_shortening,0.19884882528194878,0.14968538499521655,0.23608750585069357,5087,300,0
BurtIP,modularity_shock,0.15365344198204253,0.10071460678010731,0.19653067330292767,5087,300,1
BurtIP,partition_change,0.08359659512191853,0.03148200922194805,0.13131121706829896,5087,300,0
BurtIP,boundary_mixing,0.06414767635546423,0.011220464160077995,0.10564103121942486,5087,300,0
BurtIP,hub_formation,0.020217937211219904,-0.01402631800176844,0.04352811324818889,5087,300,0
PDE,community_reach,0.018790374429221355,-0.027587617472348468,0.07007286700916264,5087,300,0
PDE,field_entropy,0.11462776222818971,0.06783757196895562,0.1548024981774426,5087,300,0
PDE,cross_community_adoption,0.1098597410695661,0.03949067198424773,0.18126813862796762,5087,300,0
PDE,path_shortening,0.3469262903567139,0.262436664056631,0.3951631255170993,5087,300,0
PDE,modularity_shock,-0.04973204370385527,-0.11318195529546525,0.013167560474350833,5087,300,1
PDE,partition_change,0.2218415891006011,0.14336945995808684,0.29387909881713986,5087,300,0
PDE,boundary_mixing,-0.15540610269952063,-0.2250640460853417,-0.08584450399557533,5087,300,0
PDE,hub_formation,0.004810224902592989,-0.014443692269899456,0.021701333599934605,5087,300,0
