domain,fig1_dir,raw_papers,closure_nodes,citation_edges,landmarks,year_min,year_max,reference_closure_coverage,reference_closure_status
crispr,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\crispr,2500,0,21785,3,1980,2025,,audit_only_no_online_closure
exoplanets,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\exoplanets,2500,0,23061,1,1994,2025,,audit_only_no_online_closure
gamma_ray_bursts_and_supernovae,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\gamma_ray_bursts_and_supernovae,2500,0,27549,2,1987,2025,,audit_only_no_online_closure
genetics_aging_and_longevity_in_model_organisms,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\genetics_aging_and_longevity_in_model_organisms,2500,0,12362,2,1985,2025,,audit_only_no_online_closure
graphene_2d_materials,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\graphene_2d_materials,2500,0,16249,1,2004,2025,,audit_only_no_online_closure
ipsc_reprogramming,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\ipsc_reprogramming,2500,0,18828,3,1988,2025,,audit_only_no_online_closure
microbiome_metagenomics,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\microbiome_metagenomics,2500,0,23194,2,2005,2025,,audit_only_no_online_closure
perovskite_solar_cells,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\perovskite_solar_cells,2500,0,41859,3,2009,2025,,audit_only_no_online_closure
topological_insulators,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\topological_insulators,2500,0,25843,2,1991,2025,,audit_only_no_online_closure
ubiquitin_and_proteasome_pathways,data\knowledge_corpus\v2_publication_v6a_locked_candidate\views\fig2\ubiquitin_and_proteasome_pathways,2500,0,11396,2,1980,2024,,audit_only_no_online_closure
