paper_id,title,domain,year,primary_field,profile_type,control_tier,n_controls
ubiquitin_and_proteasome_pathways::https://openalex.org/W2166987747,THE UBIQUITIN SYSTEM,ubiquitin_and_proteasome_pathways,1998,Molecular Biology,landmark,field_year3,78
microbiome_metagenomics::https://openalex.org/W2125826054,A human gut microbial gene catalogue established by metagenomic sequencing,microbiome_metagenomics,2010,Molecular Biology,landmark,field_year_refbin,79
perovskite_solar_cells::https://openalex.org/W2114118829,Sequential deposition as a route to high-performance perovskite-sensitized solar cells,perovskite_solar_cells,2013,Electrical and Electronic Engineering,landmark,field_year,122
crispr::https://openalex.org/W1988075836,Modeling colorectal cancer using CRISPR-Cas9–mediated engineering of human intestinal organoids,crispr,2015,Cancer Research,future_top_decile,field_all_years,86
crispr::https://openalex.org/W1966737051,A Platform for Rapid Exploration of Aging and Diseases in a Naturally Short-Lived Vertebrate,crispr,2015,Nature and Landscape Conservation,future_top_decile,all_non_landmark,5083
crispr::https://openalex.org/W2100122648,MAGeCK enables robust identification of essential genes from genome-scale CRISPR/Cas9 knockout screens,crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,187
crispr::https://openalex.org/W1917539659,Application of genomics-assisted breeding for generation of climate resilient crops: progress and prospects,crispr,2015,Plant Science,future_top_decile,all_non_landmark,5083
crispr::https://openalex.org/W927857605,A CRISPR-Cas9 System for Genetic Engineering of Filamentous Fungi,crispr,2015,Molecular Biology,future_top_decile,field_year_refbin,186
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,126
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,212
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,212
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,221
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,field_year_refbin,126
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,field_year_refbin,186
