id,year,title,domain,primary_field,analysis_community,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,reference_count,source_dataset,legacy_is_landmark,reliable_anchor_source,anchor_policy,primary_topic,community,community_label,display_label,is_closure_node,domain_analysis_end_year
https://openalex.org/W2045435533,2012,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,crispr,Molecular Biology,35024081,35024081,1,Jinek 2012,W2045435533,10.1126/science.1225829,17234,48,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2064815984,2013,Multiplex Genome Engineering Using CRISPR/Cas Systems,crispr,Molecular Biology,35024081,35024081,1,Cong 2013,W2064815984,10.1126/science.1231143,15705,32,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2003171404,2013,RNA-Guided Human Genome Engineering via Cas9,crispr,Molecular Biology,35024081,35024081,1,Mali 2013,W2003171404,10.1126/science.1232033,9379,46,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W1977709885,2013,Genome engineering using the CRISPR-Cas9 system,crispr,Molecular Biology,35024081,35024081,0,,W1977709885,10.1038/nprot.2013.143,11704,76,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W3029661147,2020,"The mutational constraint spectrum quantified from variation in 141,456 humans",crispr,Genetics,37237451,37237451,0,,W3029661147,10.1038/s41586-020-2308-7,10114,53,openalex_v3_query_core,0,,strict,Genomics and Rare Diseases,37237451,Genomics and Rare Diseases,Genomics and Rare Diseases,0,2025
https://openalex.org/W3109746568,2020,Engineering precision nanoparticles for drug delivery,crispr,Biomaterials,34886657,34886657,0,,W3109746568,10.1038/s41573-020-0090-8,7339,320,openalex_v3_query_core,0,,strict,Nanoparticle-Based Drug Delivery,34886657,Nanoparticle-Based Drug Delivery,Nanoparticle-Based Drug Delivery,0,2025
https://openalex.org/W2050480410,2014,The new frontier of genome engineering with CRISPR-Cas9,crispr,Molecular Biology,35024081,35024081,0,,W2050480410,10.1126/science.1258096,6935,157,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W1864325817,2015,Cleavage of GSDMD by inflammatory caspases determines pyroptotic cell death,crispr,Molecular Biology,37134884,37134884,0,,W1864325817,10.1038/nature15514,6522,32,openalex_v3_query_core,0,,strict,Inflammasome and immune disorders,37134884,Inflammasome and immune disorders,Inflammasome and immune disorders,0,2025
https://openalex.org/W2801309958,2018,Understanding the tumor immune microenvironment (TIME) for effective therapy,crispr,Oncology,34903692,34903692,0,,W2801309958,10.1038/s41591-018-0014-x,5996,112,openalex_v3_anchor_citer,0,,strict,Cancer Immunotherapy and Biomarkers,34903692,Cancer Immunotherapy and Biomarkers,Cancer Immunotherapy and Biomarkers,0,2025
https://openalex.org/W2096261947,2014,Development and Applications of CRISPR-Cas9 for Genome Engineering,crispr,Molecular Biology,35024081,35024081,0,,W2096261947,10.1016/j.cell.2014.05.010,5859,105,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W1973260880,2013,Genome-Scale CRISPR-Cas9 Knockout Screening in Human Cells,crispr,Molecular Biology,35024081,35024081,0,,W1973260880,10.1126/science.1247005,5508,27,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2336828812,2016,Programmable editing of a target base in genomic DNA without double-stranded DNA cleavage,crispr,Molecular Biology,35024081,35024081,0,,W2336828812,10.1038/nature17946,5438,36,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2160051211,2013,Repurposing CRISPR as an RNA-Guided Platform for Sequence-Specific Control of Gene Expression,crispr,Molecular Biology,35024081,35024081,0,,W2160051211,10.1016/j.cell.2013.02.022,5167,30,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W3119952098,2021,Natural products in drug discovery: advances and opportunities,crispr,Pharmacology,34920847,34920847,0,,W3119952098,10.1038/s41573-020-00114-z,4983,233,openalex_v3_query_core,0,,strict,Microbial Natural Products and Biosynthesis,34920847,Microbial Natural Products and Biosynthesis,Microbial Natural Products and Biosynthesis,0,2025
https://openalex.org/W2252568502,2016,Optimized sgRNA design to maximize activity and minimize off-target effects of CRISPR-Cas9,crispr,Molecular Biology,35024081,35024081,0,,W2252568502,10.1038/nbt.3437,4975,54,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2036176224,2013,DNA targeting specificity of RNA-guided Cas9 nucleases,crispr,Molecular Biology,35024081,35024081,0,,W2036176224,10.1038/nbt.2647,4907,29,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2165869860,2015,Cpf1 Is a Single RNA-Guided Endonuclease of a Class 2 CRISPR-Cas System,crispr,Molecular Biology,35024081,35024081,0,,W2165869860,10.1016/j.cell.2015.09.038,4879,53,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W4327550249,2023,Evolutionary-scale prediction of atomic-level protein structure with a language model,crispr,Molecular Biology,34886004,34886004,0,,W4327550249,10.1126/science.ade2574,4874,64,openalex_v3_anchor_citer,0,,strict,Genomics and Phylogenetic Studies,34886004,Genomics and Phylogenetic Studies,Genomics and Phylogenetic Studies,0,2025
https://openalex.org/W2981137429,2019,Search-and-replace genome editing without double-strand breaks or donor DNA,crispr,Molecular Biology,35024081,35024081,0,,W2981137429,10.1038/s41586-019-1711-4,4654,52,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W3083241614,2020,Gut microbiota in human metabolic health and disease,crispr,Molecular Biology,34886660,34886660,0,,W3083241614,10.1038/s41579-020-0433-9,4544,221,openalex_v3_query_core,0,,strict,Gut microbiota and health,34886660,Gut microbiota and health,Gut microbiota and health,0,2025
https://openalex.org/W2787024379,2018,CRISPR-Cas12a target binding unleashes indiscriminate single-stranded DNase activity,crispr,Molecular Biology,35024081,35024081,0,,W2787024379,10.1126/science.aar6245,4357,45,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2766599608,2017,Programmable base editing of A•T to G•C in genomic DNA without DNA cleavage,crispr,Molecular Biology,35024081,35024081,0,,W2766599608,10.1038/nature24644,4207,47,openalex_v3_query_core,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W3028523516,2020,A guide to cancer immunotherapy: from T cell basic science to clinical practice,crispr,Oncology,34903692,34903692,0,,W3028523516,10.1038/s41577-020-0306-5,4140,303,openalex_v3_query_core,0,,strict,Cancer Immunotherapy and Biomarkers,34903692,Cancer Immunotherapy and Biomarkers,Cancer Immunotherapy and Biomarkers,0,2025
https://openalex.org/W2549188196,2016,ACSL4 dictates ferroptosis sensitivity by shaping cellular lipid composition,crispr,Pulmonary and Respiratory Medicine,37169467,37169467,0,,W2549188196,10.1038/nchembio.2239,4040,53,openalex_v3_anchor_citer,0,,strict,Ferroptosis and cancer prognosis,37169467,Ferroptosis and cancer prognosis,Ferroptosis and cancer prognosis,0,2025
https://openalex.org/W2101749257,2013,CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes,crispr,Molecular Biology,35024081,35024081,0,,W2101749257,10.1016/j.cell.2013.06.044,3796,46,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2112444085,2013,"ZFN, TALEN, and CRISPR/Cas-based methods for genome engineering",crispr,Molecular Biology,35024081,35024081,0,,W2112444085,10.1016/j.tibtech.2013.04.004,3772,120,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W3188940990,2021,Lipid nanoparticles for mRNA delivery,crispr,Molecular Biology,35006262,35006262,0,,W3188940990,10.1038/s41578-021-00358-0,3640,261,openalex_v3_query_core,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025
https://openalex.org/W2170039745,2013,One-Step Generation of Mice Carrying Mutations in Multiple Genes by CRISPR/Cas-Mediated Genome Engineering,crispr,Molecular Biology,35024081,35024081,0,,W2170039745,10.1016/j.cell.2013.04.025,3553,35,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2886785109,2018,Shifting the limits in wheat research and breeding using a fully annotated reference genome,crispr,Plant Science,35006391,35006391,0,,W2886785109,10.1126/science.aar7191,3374,190,openalex_v3_query_core,0,,strict,Wheat and Barley Genetics and Pathology,35006391,Wheat and Barley Genetics and Pathology,Wheat and Barley Genetics and Pathology,0,2025
https://openalex.org/W2167380395,2013,Double Nicking by RNA-Guided CRISPR Cas9 for Enhanced Genome Editing Specificity,crispr,Molecular Biology,35024081,35024081,0,,W2167380395,10.1016/j.cell.2013.08.021,3368,40,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2077659966,2013,High-frequency off-target mutagenesis induced by CRISPR-Cas nucleases in human cells,crispr,Molecular Biology,35024081,35024081,0,,W2077659966,10.1038/nbt.2623,3326,20,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2039705224,2014,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,Molecular Biology,35024081,35024081,0,,W2039705224,10.1038/nbt.2842,3178,103,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2039551908,2014,Non-viral vectors for gene-based therapy,crispr,Molecular Biology,35006262,35006262,0,,W2039551908,10.1038/nrg3763,3077,160,openalex_v3_anchor_citer,0,,strict,RNA Interference and Gene Delivery,35006262,RNA Interference and Gene Delivery,RNA Interference and Gene Delivery,0,2025
https://openalex.org/W1976391205,2013,Efficient genome editing in zebrafish using a CRISPR-Cas system,crispr,Molecular Biology,35024081,35024081,0,,W1976391205,10.1038/nbt.2501,3003,24,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W4224436908,2022,Microbiota in health and diseases,crispr,Molecular Biology,34886660,34886660,0,,W4224436908,10.1038/s41392-022-00974-4,2954,419,openalex_v3_query_core,0,,strict,Gut microbiota and health,34886660,Gut microbiota and health,Gut microbiota and health,0,2025
https://openalex.org/W2127862779,2014,Genome-scale transcriptional activation by an engineered CRISPR-Cas9 complex,crispr,Molecular Biology,35024081,35024081,0,,W2127862779,10.1038/nature14136,2935,53,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025
https://openalex.org/W2063756105,2015,RASTtk: A modular and extensible implementation of the RAST algorithm for building custom annotation pipelines and annotating batches of genomes,crispr,Molecular Biology,34886004,34886004,0,,W2063756105,10.1038/srep08365,2891,39,openalex_v3_anchor_citer,0,,strict,Genomics and Phylogenetic Studies,34886004,Genomics and Phylogenetic Studies,Genomics and Phylogenetic Studies,0,2025
