source,target
https://openalex.org/W2517275410,https://openalex.org/W1523543948
https://openalex.org/W2517275410,https://openalex.org/W1631908837
https://openalex.org/W2517275410,https://openalex.org/W1909120931
https://openalex.org/W2517275410,https://openalex.org/W1956693522
https://openalex.org/W2517275410,https://openalex.org/W1963578989
https://openalex.org/W2517275410,https://openalex.org/W1985308585
https://openalex.org/W2517275410,https://openalex.org/W2002741326
https://openalex.org/W2517275410,https://openalex.org/W2016747889
https://openalex.org/W2517275410,https://openalex.org/W2032022203
https://openalex.org/W2517275410,https://openalex.org/W2036055444
https://openalex.org/W2517275410,https://openalex.org/W2045611938
https://openalex.org/W2517275410,https://openalex.org/W2046351190
https://openalex.org/W2517275410,https://openalex.org/W2046989794
https://openalex.org/W2517275410,https://openalex.org/W2049009766
https://openalex.org/W2517275410,https://openalex.org/W2052722944
https://openalex.org/W2517275410,https://openalex.org/W2053176849
https://openalex.org/W2517275410,https://openalex.org/W2058484936
https://openalex.org/W2517275410,https://openalex.org/W2062629127
https://openalex.org/W2517275410,https://openalex.org/W2073701988
https://openalex.org/W2517275410,https://openalex.org/W2109134015
https://openalex.org/W2517275410,https://openalex.org/W2112299930
https://openalex.org/W2517275410,https://openalex.org/W2117140515
https://openalex.org/W2517275410,https://openalex.org/W2131517505
https://openalex.org/W2517275410,https://openalex.org/W2138138136
https://openalex.org/W2517275410,https://openalex.org/W2149612459
https://openalex.org/W2517275410,https://openalex.org/W2157649587
https://openalex.org/W2517275410,https://openalex.org/W2157725915
https://openalex.org/W2517275410,https://openalex.org/W2159979637
https://openalex.org/W2517275410,https://openalex.org/W2170138349
https://openalex.org/W2517275410,https://openalex.org/W2170363318
https://openalex.org/W2517275410,https://openalex.org/W2290069354
https://openalex.org/W2611138580,https://openalex.org/W168279297
https://openalex.org/W2611138580,https://openalex.org/W1997062226
https://openalex.org/W2797389850,https://openalex.org/W2015651900
https://openalex.org/W2797389850,https://openalex.org/W2099193967
https://openalex.org/W2793897503,https://openalex.org/W1976382531
https://openalex.org/W2793897503,https://openalex.org/W2032022203
https://openalex.org/W2793897503,https://openalex.org/W2053133117
https://openalex.org/W2793897503,https://openalex.org/W2066650294
https://openalex.org/W2793897503,https://openalex.org/W2089145020
https://openalex.org/W2793897503,https://openalex.org/W2105754268
https://openalex.org/W2793897503,https://openalex.org/W2132820862
https://openalex.org/W2793897503,https://openalex.org/W2142353558
https://openalex.org/W2793897503,https://openalex.org/W2321151839
https://openalex.org/W2793897503,https://openalex.org/W2343257250
https://openalex.org/W2793897503,https://openalex.org/W2439976878
https://openalex.org/W2793897503,https://openalex.org/W2538184342
https://openalex.org/W2793897503,https://openalex.org/W2618870156
https://openalex.org/W2793897503,https://openalex.org/W2774690079
