source,target
https://openalex.org/W1963706689,https://openalex.org/W1966865009
https://openalex.org/W1963706689,https://openalex.org/W2003316226
https://openalex.org/W1963706689,https://openalex.org/W2076118796
https://openalex.org/W1963706689,https://openalex.org/W2081914422
https://openalex.org/W1963706689,https://openalex.org/W2098597036
https://openalex.org/W1963706689,https://openalex.org/W2110654245
https://openalex.org/W1963706689,https://openalex.org/W2125987139
https://openalex.org/W1963706689,https://openalex.org/W2132678954
https://openalex.org/W3040646360,https://openalex.org/W2018286352
https://openalex.org/W3040646360,https://openalex.org/W2093822374
https://openalex.org/W3040646360,https://openalex.org/W2138977668
https://openalex.org/W3040646360,https://openalex.org/W2142046859
https://openalex.org/W3040646360,https://openalex.org/W2143296478
https://openalex.org/W3040646360,https://openalex.org/W2279554517
https://openalex.org/W3040646360,https://openalex.org/W2282335838
https://openalex.org/W3040646360,https://openalex.org/W2563494429
https://openalex.org/W3040646360,https://openalex.org/W2952949965
https://openalex.org/W3040646360,https://openalex.org/W2982460272
https://openalex.org/W3040646360,https://openalex.org/W2991495895
https://openalex.org/W2026520402,https://openalex.org/W2138977668
https://openalex.org/W2565787913,https://openalex.org/W1483496013
https://openalex.org/W2565787913,https://openalex.org/W1553983967
https://openalex.org/W2565787913,https://openalex.org/W1789211759
https://openalex.org/W2565787913,https://openalex.org/W1806909159
https://openalex.org/W2565787913,https://openalex.org/W1843728946
https://openalex.org/W2565787913,https://openalex.org/W1899371747
https://openalex.org/W2565787913,https://openalex.org/W1985010554
https://openalex.org/W2565787913,https://openalex.org/W1991037959
https://openalex.org/W2565787913,https://openalex.org/W2003126320
https://openalex.org/W2565787913,https://openalex.org/W2018286352
https://openalex.org/W2565787913,https://openalex.org/W2028936244
https://openalex.org/W2565787913,https://openalex.org/W2035121417
https://openalex.org/W2565787913,https://openalex.org/W2050689355
https://openalex.org/W2565787913,https://openalex.org/W2072239613
https://openalex.org/W2565787913,https://openalex.org/W2077806591
https://openalex.org/W2565787913,https://openalex.org/W2081628067
https://openalex.org/W2565787913,https://openalex.org/W2081914422
https://openalex.org/W2565787913,https://openalex.org/W2088152986
https://openalex.org/W2565787913,https://openalex.org/W2088714934
https://openalex.org/W2565787913,https://openalex.org/W2096216062
https://openalex.org/W2565787913,https://openalex.org/W2098597036
https://openalex.org/W2565787913,https://openalex.org/W2099036911
https://openalex.org/W2565787913,https://openalex.org/W2101569447
https://openalex.org/W2565787913,https://openalex.org/W2104978512
https://openalex.org/W2565787913,https://openalex.org/W2125987139
https://openalex.org/W2565787913,https://openalex.org/W2126774748
https://openalex.org/W2565787913,https://openalex.org/W2131108668
https://openalex.org/W2565787913,https://openalex.org/W2138456699
https://openalex.org/W2565787913,https://openalex.org/W2138574694
