source_community,target_community,weight
34886001,34937876,1
34886001,35024081,1
34886003,34904081,1
34886003,35024081,71
34886003,37134881,2
34886003,37168681,1
34886003,37203397,1
34886003,39382443,1
34886003,39399347,1
34886004,35024081,10
34886262,34920985,1
34886262,34988968,1
34886262,35024081,10
34886262,37203783,5
34886269,35024081,3
34886656,34971809,1
34886656,35006262,1
34886656,35024081,13
34886656,35040717,1
34886656,37254877,1
34886657,34903162,1
34886657,34920197,2
34886657,35006262,5
34886657,35007045,1
34886657,35024081,12
34886660,35024081,1
34886791,34886003,1
34886791,35024081,39
34886791,37220689,1
34886791,37255004,1
34886792,35024081,3
34886792,37255005,1
34886794,34886657,1
34886794,35006262,1
34886794,35024081,4
34886922,35024081,7
34886922,37169073,2
34886922,37169467,1
34886922,43930505,1
34887048,35024081,12
34887051,35024081,1
34887053,35024081,1
34903034,35024081,1
34903034,37134884,1
34903034,39382841,1
34903035,34971678,1
34903035,34988842,1
34903035,37169336,1
34903035,37255005,2
34903162,34920197,1
34903162,35024081,18
34903162,37185447,1
34903168,34886657,1
34903168,34903821,3
34903168,34903822,1
34903168,35006262,2
34903168,35024081,7
34903292,34971678,1
34903292,35024081,24
34903292,37271902,1
34903294,34920454,1
34903294,35024081,21
34903294,37271902,1
34903294,37288543,1
34903300,34920454,1
34903300,35024081,10
34903300,37185576,1
34903300,41630798,1
34903423,35024081,2
34903427,35024081,3
34903431,35024081,1
34903431,39520518,2
34903554,35024081,11
34903560,34886657,1
34903560,35024081,12
34903560,37134884,1
34903560,39468778,1
34903685,35024081,1
34903692,34972721,1
34903692,35024081,3
34903692,37169336,1
34903692,37185576,1
34903692,37203783,14
34903821,35024081,13
34903822,34903821,1
34903822,35024081,1
34903947,34955435,1
34903947,35024081,26
34904081,34920454,4
34904081,34920985,5
34904081,35024081,27
34920197,35006262,5
34920197,35024081,19
34920322,35024081,3
34920328,35024081,1
34920328,37237451,1
34920454,34920977,2
34920454,34920985,6
34920454,34954909,1
34920454,34971809,5
34920454,34988838,1
34920454,34989097,1
34920454,35024081,72
34920454,37134221,3
34920454,37169075,1
34920454,37169338,1
34920454,39468252,2
34920584,34971678,1
34920584,35023558,1
34920584,35024081,5
34920584,37169336,1
34920714,34904081,1
34920714,35024081,14
34920847,35024081,6
34920847,35040712,1
34920977,34920454,2
34920977,34971678,1
34920977,35024081,29
34920977,37169336,1
34920977,37169338,1
34920977,37237451,1
34920982,34937354,1
34920982,35024081,1
34920984,34971678,1
34920985,34920454,1
34920985,34920977,2
34920985,34971809,1
34920985,35024081,76
34920985,37169075,2
34920985,37203653,5
34920985,37254877,1
34920985,39468252,2
34920985,39485147,1
34920985,39519600,1
34921373,35024081,2
34921373,37134484,1
34937352,34972728,1
34937352,35024081,9
34937354,34920982,1
34937354,34955041,1
34937354,35024081,15
34937354,35040712,1
34937360,35024081,1
34937750,34903300,1
34937750,34903692,2
34937750,34920584,5
34937750,34971678,4
34937750,34972724,1
34937750,35023558,1
34937750,35024081,13
34937750,35040717,1
34937750,37152299,2
34937750,37169336,10
34937750,39399735,1
34937876,35024081,1
34938007,35024081,3
34938141,39536770,1
34938269,37237719,1
34938273,35024081,2
34938534,34988972,1
34938534,35024081,8
34954519,35024081,1
34954650,35024081,1
34954652,35024081,1
34954776,35024081,6
34954776,37237978,1
34954777,35024081,1
34954909,34886004,1
34954909,34920454,3
34954909,35006391,1
34954909,35024081,10
34954909,37203397,1
34954914,34955695,1
34954914,35024081,6
34954914,39382443,1
34954914,39451616,1
34955037,35024081,2
34955037,35040974,1
34955041,35024081,1
34955045,35024081,1
34955167,35024081,4
34955307,39519999,1
34955432,35024081,3
34955435,34903162,1
34955435,34937354,3
34955435,35006262,1
34955435,35024081,59
34955435,35040712,1
34955435,37271775,1
34955435,39417032,1
34955566,35024081,3
34955569,35024081,2
34955693,35024081,8
34955695,35024081,90
34955695,37255004,2
34955695,39433538,1
34955698,35024081,5
34955698,35040712,1
34955699,35024081,1
34955700,35024081,1
34971678,34989097,1
34971678,35024081,34
34971678,35024206,1
34971678,37169336,2
34971678,37169338,2
34971678,39382583,1
34971678,39536770,1
34971679,35024081,1
34971809,34886656,2
34971809,34920454,2
34971809,34954909,1
34971809,34971936,5
34971809,34988838,1
34971809,35024081,85
34971809,37134884,1
34971809,37169336,1
34971809,37203653,3
34971809,37254877,4
34971809,39382185,1
34971809,39399215,1
34971810,35024081,2
34971813,35024081,2
34971935,35024081,1
34971936,34886004,1
34971936,34955566,1
34971936,35006262,1
34971936,35024081,41
34971936,37134878,1
34971936,37203783,2
34971936,37237451,1
34972069,35024081,5
34972197,34971936,1
34972197,35024081,3
34972332,35024081,7
34972590,34920584,1
34972590,35024081,5
34972590,37169467,1
34972721,35024081,4
34972722,35024081,3
34972724,34921373,1
34972724,35024081,2
34972724,37134752,1
34972724,37169336,3
34972724,37185837,1
34972728,35024081,11
34972855,35024081,1
34988836,35024081,3
34988838,34955037,1
34988838,34955693,1
34988838,34971936,1
34988838,35006262,1
34988838,35024081,34
34988838,35040588,1
34988838,35041366,1
34988838,37134221,1
34988838,37203653,1
34988838,39468252,1
34988838,39519600,1
34988968,34955037,2
34988968,34972332,1
34988968,35006262,1
34988968,35024081,42
34988968,37203783,1
34988972,34971810,1
34988972,35024081,5
34989097,35024081,1
34989228,34903692,1
34989228,34937352,1
34989228,34988968,1
34989228,35006262,1
34989228,35024081,5
34989228,37186232,1
34989228,37203653,1
34990014,34988968,1
34990014,35006262,1
34990014,35024081,21
34990018,35024335,1
34990022,35024081,2
35005997,35024081,3
35005999,39519999,2
35006126,35024081,7
35006262,34886656,1
35006262,34886657,6
35006262,34920197,6
35006262,34972332,1
35006262,34988968,2
35006262,35006915,4
35006262,35024081,219
35006262,37185447,8
35006262,37203783,1
35006262,39485147,1
35006262,39485285,1
35006262,39537684,1
35006391,34954914,1
35006391,35024081,7
35006391,37168812,1
35006653,34954652,1
35006653,34955435,1
35006653,35024081,6
35006913,35024081,6
35006915,34886656,2
35006915,34886657,1
35006915,34989228,1
35006915,35006262,7
35006915,35024081,22
35006915,37152299,1
35006916,35006391,1
35007045,34886657,1
35007045,35006262,2
35007045,35024081,3
35007045,37169336,1
35007045,37254877,1
35023550,35024081,2
35023555,35024081,3
35023558,34920977,1
