community,label,x,y,domain,topic_id
56541544,Soil Carbon and Nitrogen Dynamics,0.5291671919737789,0.8485175796284871,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10004
56541545,Ecology and Vegetation Dynamics Studies,0.5275917415926982,0.8494980601526901,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10005
56541671,"Obesity, Physical Activity, Diet",0.526014474509621,0.8504756155271985,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10010
56541673,Genetic diversity and population structure,0.524435396155687,0.8514502423859116,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10012
56541675,Plant Stress Responses and Tolerance,0.5228545119682718,0.8524219373728132,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10014
56541676,Genomics and Phylogenetic Studies,0.5212718273909703,0.8533906971419822,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10015
56541678,Geology and Paleoclimatology Research,0.5196873478735762,0.854356518357605,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10017
56541809,"Diabetes, Cardiovascular Risks, and Lipoproteins",0.518101078872064,0.8553193976939861,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10027
56541934,T-cell and B-cell Immunology,0.5165130258485701,0.8562793318355608,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10031
56541935,Marine and coastal ecosystems,0.5149231942713739,0.857236317476905,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10032
56541938,Phytochemicals and Antioxidant Activities,0.5133315896148795,0.8581903513227476,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10035
56541941,Tuberculosis Research and Epidemiology,0.5117382173595956,0.8591414300879823,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10038
56542196,Asthma and respiratory diseases,0.5101430829921181,0.8600895504976774,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10051
56542328,MicroRNA in disease regulation,0.5085461920051101,0.8610347092870889,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10062
56542332,Gut microbiota and health,0.5069475498972837,0.8619769032016699,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10066
56542458,Bone health and osteoporosis research,0.505347162173381,0.862916128997083,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10071
56542459,Science Education and Pedagogy,0.5037450343441542,0.8638523834392118,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10072
56542463,Plant-Microbe Interactions and Immunity,0.5021411719263478,0.8647856633041704,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10076
56542464,Neuroscience and Neuropharmacology Research,0.5005355804426794,0.8657159653783162,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10077
56542466,Nanoparticles: synthesis and applications,0.49892826542182,0.8666432864582602,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10079
56542593,Parkinson's Disease Mechanisms and Treatments,0.4973192323983755,0.8675676233508778,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10085
56542594,Alzheimer's disease research and treatments,0.4957084869128679,0.8684889728733204,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10086
56542720,Malaria Research and Control,0.4940960345117153,0.8694073318530261,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10091
56542727,Ruminant Nutrition and Digestive Physiology,0.492481880747214,0.8703226971277302,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10098
56558706,Osteoarthritis Treatment and Mechanisms,0.490866031177518,0.8712350655454772,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10105
56558838,Sperm and Testicular Function,0.4892484913666213,0.8721444339646302,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10116
56558840,SARS-CoV-2 and COVID-19 Research,0.4876292668843376,0.8730507992538827,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10118
56558963,Bacterial Genetics and Biotechnology,0.486008363306282,0.8739541582922693,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10120
56558966,DNA Repair Mechanisms,0.4843857862138508,0.8748545079691763,genetics_aging_and_longevity_in_model_organisms,https://openalex.org/T10123
