source_community,target_community,weight
62465821,62551237,3
62465825,62551237,1
62466091,62483511,3
62466091,62551237,12
62466091,64731858,1
62466215,62483511,1
62466215,62500544,3
62466215,62516911,1
62466215,62517309,14
62466215,62551237,134
62466215,62551368,1
62466215,62551495,1
62466215,62585821,1
62466215,62603117,1
62466215,64714174,1
62466215,64731073,1
62466215,64799987,1
62466215,67047811,1
62466215,69278612,1
62466216,62551237,1
62466216,64851725,1
62466351,62482594,1
62466351,62551237,7
62466351,64816485,2
62466353,62551237,4
62466353,62585560,1
62466353,62603117,1
62466353,64731858,1
62466353,67064844,2
62466480,62466610,1
62466480,62551237,12
62466480,64851331,1
62466481,62551237,56
62466481,64731858,1
62466481,64748632,1
62466481,64748897,1
62466481,64816485,1
62466481,64851331,1
62466481,67030253,1
62466610,62551237,3
62466610,64834564,1
62482593,62483511,5
62482593,62551237,56
62482593,62585825,1
62482593,62603640,1
62482593,67064844,1
62482593,69278482,1
62482594,62551237,4
62482594,64834564,1
62482721,62500544,1
62482725,62500544,1
62482725,62551237,11
62482727,62551237,4
62482727,64816485,1
62482853,62500013,1
62482853,62551237,3
62482859,62517309,3
62482859,62551237,12
62482859,64851331,1
62483115,62551237,2
62483380,62551237,1
62483505,62551237,4
62483505,62569573,5
62483511,62466091,2
62483511,62466353,1
62483511,62482593,1
62483511,62500544,4
62483511,62517309,3
62483511,62517700,1
62483511,62517836,1
62483511,62534079,1
62483511,62535122,1
62483511,62551237,306
62483511,62568401,5
62483511,62568787,2
62483511,62569573,5
62483511,62586472,2
62483511,62586474,6
62483511,62603117,9
62483511,62603640,1
62483511,62620668,1
62483511,64713780,1
62483511,64731858,2
62483511,64748626,1
62483511,64799324,1
62483511,64800240,1
62483511,64817408,1
62483511,64817537,1
62483511,64834044,1
62483511,66996721,8
62483511,67030253,1
62483511,67064837,1
62483511,67064844,1
62483511,69278482,3
62483640,62500013,3
62483640,62500544,2
62483640,62551237,18
62483640,62603640,1
62483773,62551237,1
62483773,62603640,1
62499756,62466215,1
62499756,62551237,5
62499756,62569573,1
62499756,62620409,1
62499887,62551237,92
62499887,62568531,1
62499887,62569573,1
62499887,62603117,1
62499887,62603640,3
62499887,64816485,8
62499887,64817408,1
62499887,64834564,1
62499887,66978774,1
62499887,67013486,1
62499887,67030253,2
62500013,62466215,2
62500013,62499756,1
62500013,62500544,21
62500013,62517309,3
62500013,62551237,119
62500013,62551495,4
62500013,62551765,1
62500013,62568656,2
62500013,62568787,1
62500013,62569573,1
62500013,62586215,3
62500013,62603117,4
62500013,62603640,4
62500013,64714442,1
62500013,64817408,2
62500013,66962400,1
62500013,66996721,1
62500013,67047811,2
62500013,67099159,1
62500013,69278612,1
62500018,62551237,3
62500018,67030253,1
62500143,62551237,2
62500143,67099159,1
62500143,69278612,1
62500150,62482593,1
62500150,62483511,1
62500150,62551237,10
62500150,67064844,1
62500273,62483640,1
62500404,62551237,2
62500404,62569573,1
62500404,64748632,1
62500536,62551237,1
62500543,62500013,1
62500543,62500544,1
62500543,62516919,1
62500543,62551237,4
62500543,62568656,1
62500543,66996199,1
62500544,62466215,12
62500544,62482853,1
62500544,62482859,4
62500544,62499887,1
62500544,62500013,15
62500544,62500543,1
62500544,62516911,7
62500544,62517309,32
62500544,62534468,1
62500544,62551237,396
62500544,62551368,1
62500544,62551495,3
62500544,62552283,4
62500544,62568395,2
62500544,62568397,2
62500544,62568401,7
62500544,62568656,4
62500544,62568787,4
62500544,62569316,3
62500544,62603117,4
62500544,62603640,3
62500544,62620668,1
62500544,64714442,1
62500544,64747974,1
62500544,64799326,2
62500544,64817408,2
62500544,64817537,4
62500544,64834044,2
62500544,64834564,1
62500544,64851331,2
62500544,66979294,1
62500544,66996199,2
62500544,67013489,1
62500544,67047811,2
62500544,67099159,1
62500544,69278612,4
62500928,62500544,1
62500928,62551237,13
62500928,62603117,1
62500928,62620801,1
62500928,66979294,2
62500932,62500544,1
62500932,69278612,1
62516910,62499887,1
62516910,62551237,11
62516910,66996721,4
62516910,67064706,1
62516910,69244685,1
62516911,62466215,1
62516911,62499887,1
62516911,62500544,2
62516911,62517309,1
62516911,62535122,1
62516911,62551237,104
62516911,62568397,1
62516911,62586472,1
62516911,62603640,1
62516911,64731858,1
62516911,66996721,1
62516911,67030253,1
62516919,62551237,7
62517307,62551237,9
62517307,66996721,1
62517309,62466215,5
62517309,62482859,2
62517309,62483511,1
62517309,62499756,1
62517309,62500013,1
62517309,62500143,2
62517309,62500544,12
62517309,62534335,1
62517309,62535252,1
62517309,62551237,241
62517309,62551495,1
62517309,62552280,1
62517309,62568397,1
62517309,62568401,1
62517309,62568656,2
62517309,62568787,14
62517309,62569573,1
62517309,62586474,2
62517309,62603117,3
62517309,62620668,1
62517309,64731073,3
62517309,64731858,2
62517309,64747974,2
62517309,64748895,1
62517309,64748897,1
62517309,64783342,2
62517309,64799324,1
62517309,64799326,1
62517309,64816485,1
62517309,64834044,1
62517309,66962400,1
62517309,66979294,3
62517309,67013489,2
62517309,67047811,2
62517309,69227523,2
62517309,69278612,1
62517311,62551237,2
62517436,62500013,1
62517436,62551237,1
62517439,62551237,2
62517439,64817537,1
62517700,62466215,6
62517700,62482725,1
62517700,62483511,2
62517700,62500544,1
62517700,62551237,34
62517700,67030253,1
62517701,62551237,7
62517701,62552280,1
62517701,64816485,1
62517828,62551237,1
62517836,62466091,1
62517836,62482725,1
62517836,62483511,2
62517836,62500544,1
62517836,62517309,2
62517836,62551237,22
62517836,62569573,2
62517836,62603640,1
62517836,62620668,1
62517836,64731858,1
62534079,62551237,1
62534335,62517309,2
62534335,62551237,13
62534335,62603640,1
62534335,64782957,1
62534335,66979294,1
62534335,66996721,1
62534342,62551237,1
62534342,62568397,1
62534468,62466215,2
62534468,62500013,1
62534468,62551237,12
62534468,62603640,1
62534596,62500544,1
62534596,62551237,38
62534596,62568401,2
62534596,62568787,1
62534596,62603117,1
62534596,66996721,4
62534596,69278482,1
62534597,62483511,1
62534597,62551237,1
62534603,62551237,1
62534734,62551237,3
62534866,62551237,1
62535122,62483511,3
62535122,62551237,57
62535122,62568401,2
62535122,62603117,1
62535122,67064844,1
62535122,69278482,1
62535252,62551237,4
62535252,64834564,1
62535252,69227523,1
62551237,62466215,94
62551237,62466351,3
62551237,62466480,27
62551237,62466481,27
62551237,62466610,1
62551237,62482593,3
62551237,62482725,1
62551237,62482859,1
62551237,62483511,29
62551237,62499756,1
62551237,62499887,86
62551237,62500013,31
62551237,62500143,1
62551237,62500150,1
62551237,62500544,127
62551237,62500928,1
62551237,62516911,50
