source,target
https://openalex.org/W2024227324,https://openalex.org/W1965464747
https://openalex.org/W2024227324,https://openalex.org/W2027563442
https://openalex.org/W2024227324,https://openalex.org/W2051702275
https://openalex.org/W2024227324,https://openalex.org/W2057327293
https://openalex.org/W2024227324,https://openalex.org/W2073726416
https://openalex.org/W2024227324,https://openalex.org/W2144574847
https://openalex.org/W1976148968,https://openalex.org/W1965464747
https://openalex.org/W2940692781,https://openalex.org/W1026348989
https://openalex.org/W2940692781,https://openalex.org/W1696825759
https://openalex.org/W2940692781,https://openalex.org/W1965464747
https://openalex.org/W2940692781,https://openalex.org/W1981069060
https://openalex.org/W2940692781,https://openalex.org/W1991981401
https://openalex.org/W2940692781,https://openalex.org/W1993928913
https://openalex.org/W2940692781,https://openalex.org/W2003478788
https://openalex.org/W2940692781,https://openalex.org/W2006304022
https://openalex.org/W2940692781,https://openalex.org/W2020043850
https://openalex.org/W2940692781,https://openalex.org/W2020683240
https://openalex.org/W2940692781,https://openalex.org/W2036060813
https://openalex.org/W2940692781,https://openalex.org/W2039750069
https://openalex.org/W2940692781,https://openalex.org/W2045586093
https://openalex.org/W2940692781,https://openalex.org/W2057327293
https://openalex.org/W2940692781,https://openalex.org/W2062002268
https://openalex.org/W2940692781,https://openalex.org/W2062571793
https://openalex.org/W2940692781,https://openalex.org/W2065204918
https://openalex.org/W2940692781,https://openalex.org/W2073726416
https://openalex.org/W2940692781,https://openalex.org/W2078019609
https://openalex.org/W2940692781,https://openalex.org/W2083689629
https://openalex.org/W2940692781,https://openalex.org/W2105759630
https://openalex.org/W2940692781,https://openalex.org/W2114118829
https://openalex.org/W2940692781,https://openalex.org/W2116004146
https://openalex.org/W2940692781,https://openalex.org/W2120185412
https://openalex.org/W2940692781,https://openalex.org/W2123857657
https://openalex.org/W2940692781,https://openalex.org/W2132189412
https://openalex.org/W2940692781,https://openalex.org/W2144574847
https://openalex.org/W2940692781,https://openalex.org/W2156019254
https://openalex.org/W2940692781,https://openalex.org/W2160785667
https://openalex.org/W2940692781,https://openalex.org/W2169328609
