source_community,target_community,weight
50737797,50772648,10
50737934,50772648,21
50738061,50738846,2
50738061,50772648,77
50738061,50824779,1
50738061,50841027,1
50738188,50772648,6
50738324,50772648,19
50738324,50824779,1
50738324,50841027,1
50738324,50841547,1
50738585,50772648,1
50738720,50738061,1
50738720,50755882,1
50738720,50772648,51
50738720,50789541,1
50738721,50772648,1
50738846,50772648,10
50738974,50772648,4
50738974,50841027,1
50738980,50772648,4
50738981,50772648,1
50754963,50772648,6
50755350,50738061,1
50755350,50772648,13
50755480,50772648,1
50755882,50772648,34
50756137,50772648,14
50772250,50772648,2
50772646,50772648,8
50772648,50738061,101
50772648,50738324,2
50772648,50738720,5
50772648,50738846,4
50772648,50754963,5
50772648,50755350,3
50772648,50755882,2
50772648,50789541,35
50772648,50789679,2
50772648,50807226,2
50772648,50823602,8
50772648,50824263,1
50772648,50824779,25
50772648,50841027,15
50772648,50841547,2
50772648,50875739,2
50772648,50876137,3
50772648,50892509,1
50772648,50893300,1
50772648,53020345,1
50772648,53020732,3
50772648,53021127,6
50772648,53054665,7
50772648,53090031,4
50772648,53123832,1
50772648,53140867,16
50772648,53141520,1
50772648,55285469,30
50772648,55337076,4
50772648,55372187,1
50773039,50738846,2
50773039,50772648,7
50773305,50772648,3
50789281,50772648,27
50789541,50738061,1
50789541,50772648,47
50789679,50772648,35
50789679,50841547,2
50806840,50772648,1
50806963,50772648,12
50806963,50841547,1
50807226,50772648,13
50807226,50824779,1
50807233,50772648,35
50807233,55285469,2
50807357,50772648,3
50807358,50738974,1
50807358,50772648,1
50807358,50789541,1
50823602,50772648,53
50823602,50773039,1
50824124,50772648,7
50824263,50738720,1
50824263,50772648,1
50824779,50738061,1
50824779,50738324,1
50824779,50772648,86
50824779,50841027,1
50824779,55285469,1
50840893,50772648,15
50840893,50789541,1
50840893,53020732,1
50840894,50772648,6
50841026,50772648,3
50841027,50772648,33
50841027,50841026,1
50841027,55285469,1
50841547,50772648,9
50841547,50789679,1
50859101,50772648,1
50859109,50772648,6
50875214,50772648,7
50875739,50772648,8
50876137,50772648,7
50892509,50772648,13
50892905,50772648,1
50893300,50772648,13
50893300,50773039,1
52986541,50772648,1
53020345,50772648,14
53020601,50772648,1
53020602,50772648,1
53020732,50772648,25
53020732,50823602,1
53020732,50824779,1
53021127,50772648,20
53054665,50772648,4
53055448,50772648,4
53055449,50772648,5
53088853,50772648,1
53090031,50772648,18
53107069,50772648,4
53123832,50772648,16
53140342,50738720,1
53140342,50772648,7
53140859,50772648,1
53140867,50738324,1
53140867,50738720,1
53140867,50772648,75
53140867,50824779,1
53141520,50772648,9
55234378,50772648,4
55234378,50823602,1
55251671,50772648,1
55268299,50772648,2
55268700,50772648,4
55285469,50738324,2
55285469,50772648,36
55285469,50807233,1
55320444,50772648,13
55337076,50772648,13
55371666,50772648,6
55372187,50772648,4
57500277,50772648,1
