source_community,target_community,weight
74576915,74577964,2
74577052,74612157,1
74577052,74646482,1
74577052,74731496,1
74577175,74629446,2
74577175,74645824,1
74577175,74646736,1
74577175,74680541,17
74577175,74680929,1
74577175,76962296,2
74577180,74611242,1
74577180,74612157,1
74577180,74662987,1
74577180,74680541,14
74577180,76962296,1
74577306,74629446,1
74577306,74680541,2
74577306,74731496,2
74577313,74577446,22
74577313,74577964,15
74577313,74612157,14
74577313,74629446,16
74577313,74645824,5
74577313,74662987,1
74577313,74679886,1
74577313,74680541,115
74577313,74731496,1
74577313,76929020,13
74577313,76945923,1
74577313,76979985,1
74577313,76980244,1
74577313,76980635,2
74577313,79159956,2
74577313,81390619,1
74577446,74577313,27
74577446,74577964,19
74577446,74578092,1
74577446,74594081,3
74577446,74612157,23
74577446,74629446,31
74577446,74645824,1
74577446,74646476,5
74577446,74646482,2
74577446,74662720,3
74577446,74679886,7
74577446,74680541,166
74577446,74697697,2
74577446,74715255,13
74577446,76842951,1
74577446,76860114,1
74577446,76894181,3
74577446,76929020,13
74577446,79107417,1
74577446,79159031,7
74577446,79159956,4
74577446,79176193,1
74577446,81338615,1
74577446,81390619,3
74577838,74577964,3
74577838,74680541,2
74577964,74577313,49
74577964,74577446,8
74577964,74577838,2
74577964,74611766,1
74577964,74612157,40
74577964,74629446,70
74577964,74645824,1
74577964,74646081,2
74577964,74646482,3
74577964,74662987,2
74577964,74680541,476
74577964,76860250,1
74577964,76893784,4
74577964,76929020,5
74577964,76962296,9
74577964,76979985,1
74577964,79107417,2
74577964,79159956,1
74577964,79176194,1
74577964,81407385,1
74578092,74577313,1
74578092,74577446,2
74578092,74577964,1
74578092,74612157,3
74578092,79159956,1
74578098,74577964,7
74578098,74612157,1
74578098,74646081,1
74578098,74680541,8
74594081,74577446,3
74594081,74577964,1
74594081,74611766,1
74594081,74612157,6
74594081,74646482,2
74594081,74680541,7
74594081,74715255,1
74594081,74731496,1
74594081,76860114,1
74594081,76894181,3
74594081,76929020,2
74594081,79159031,1
74594081,79159956,4
74594468,74577964,1
74595000,74577964,3
74595000,74612157,2
74595000,74680541,2
74611242,74577446,1
74611242,74611766,1
74611242,74612157,1
74611242,74680541,6
74611630,74646482,1
74611764,74577313,1
74611764,74577964,6
74611764,74611630,1
74611764,74612157,3
74611764,74612419,1
74611764,74612423,8
74611764,74645824,1
74611764,74646736,6
74611764,74680541,92
74611764,74680671,2
74611764,74714465,2
74611764,76842297,1
74611764,76860114,1
74611764,76911731,1
74611764,76945531,1
74611764,79176193,8
74611766,74577313,2
74611766,74577964,7
74611766,74612157,15
74611766,74612419,1
74611766,74629446,3
74611766,74646476,1
74611766,74680541,20
74611766,74715255,1
74611766,74731496,3
74611766,79159956,1
74611766,79176194,4
74612157,74577313,51
74612157,74577446,39
74612157,74577838,4
74612157,74577964,331
74612157,74578092,2
74612157,74595000,1
74612157,74611242,4
74612157,74611766,3
74612157,74629446,28
74612157,74645824,2
74612157,74646476,4
74612157,74646482,5
74612157,74662720,6
74612157,74680541,627
74612157,74732418,2
74612157,76929020,10
74612157,76962950,2
74612157,76979985,1
74612157,76980634,1
74612157,76980635,1
74612157,79073625,1
74612157,79107417,1
74612157,79159031,1
74612157,79159956,17
74612157,79176193,1
74612157,79176194,2
74612157,79210391,2
74612419,74577313,2
74612419,74577964,5
74612419,74611764,1
74612419,74612157,5
74612419,74629446,1
74612419,74646482,1
74612419,74646736,1
74612419,74680275,1
74612419,74680541,25
74612419,76911731,1
74612419,79176194,1
74612423,74577175,1
74612423,74577964,4
74612423,74611764,4
74612423,74612419,1
74612423,74629446,3
74612423,74646736,2
74612423,74663510,1
74612423,74680541,40
74612423,74697697,2
74612423,76842297,1
74612423,76893919,1
74612423,76911731,1
74612423,79176193,2
74612423,79176194,1
74628797,74577313,1
74628797,74577964,5
74628797,74612157,2
74628797,74680541,2
74628797,79073625,1
74629191,74629446,1
74629191,74680541,1
74629446,74577313,20
74629446,74577446,9
74629446,74577964,75
74629446,74612157,15
74629446,74645824,8
74629446,74680541,204
74629446,74680929,1
